CNTYVTD,VTDKEY,MillerR_18G_Ag Comm,OlsonD_18G_Ag Comm,CarpenterL_18G_Ag Comm
"0010001",1,653,236,16
"0010002",2,1047,161,19
"0010003",3,555,100,7
"0010004",4,736,99,9
"0010005",5,174,10,4
"0010006",6,265,370,9
"0010007",7,79,446,8
"0010008",8,44,99,4
"0010009",9,549,136,14
"0010010",10,228,25,5
"0010011",11,471,149,12
"0010013",12,584,250,21
"0010015",13,470,57,9
"0010016",14,343,89,8
"0010017",15,331,100,8
"0010018",16,897,196,18
"0010019",17,769,236,28
"0010020",18,393,136,12
"0010021",19,828,137,18
"0010022",20,526,95,7
"0010023",21,689,74,15
"0010024",22,442,37,7
"0030001",23,691,192,21
"0030002",24,1255,183,29
"0030003",25,777,169,28
"0030004",26,530,176,13
"0050001",27,127,88,2
"0050002",28,250,740,10
"0050003",29,737,171,12
"0050004",30,347,265,5
"0050005",31,510,378,23
"0050006",32,196,38,6
"0050007",33,621,74,8
"0050008A",34,396,46,8
"0050008B",35,254,29,6
"0050009",36,144,44,4
"0050010A",37,219,199,7
"0050010B",38,27,24,0
"0050011",39,1080,103,13
"0050012",40,383,85,3
"0050013",41,182,136,12
"0050014",42,749,302,13
"0050015",43,295,61,4
"0050016",44,431,450,17
"0050017",45,818,107,10
"0050018",46,224,106,3
"0050019",47,640,267,15
"0050020",48,138,902,13
"0050021",49,508,151,11
"0050022",50,513,91,7
"0050023",51,296,49,5
"0050024",52,979,256,22
"0050025",53,948,199,20
"0050026",54,868,108,13
"0050027",55,196,22,4
"0050028A",56,478,107,15
"0050028B",57,54,12,2
"0050029",58,682,126,11
"0050030",59,494,43,15
"0050031",60,143,54,4
"0050032",61,51,8,0
"0050033",62,657,53,10
"0050034",63,918,308,22
"0050035",64,812,228,11
"0050036",65,5,0,0
"0050037",66,216,42,9
"0050038",67,170,35,1
"0050039",68,185,85,1
"0050040",69,273,158,11
"005011B",70,466,92,8
"005017B",71,178,18,1
"0070001",72,914,234,18
"0070002",73,1000,487,36
"0070003",74,1884,584,46
"0070004",75,1683,518,59
"007001A",76,540,152,12
"007004A",77,551,137,9
"0090001",78,594,68,8
"0090002",79,518,60,5
"0090003",80,185,29,4
"0090004",81,368,15,4
"0090005",82,80,6,4
"0090006",83,519,78,8
"0090007",84,118,9,3
"0090008",85,180,30,3
"0090009",86,93,10,1
"0090010",87,429,66,3
