CNTYVTD,VTDKEY,PaxtonR_18G_Attorney Gen,NelsonD_18G_Attorney Gen,HarrisL_18G_Attorney Gen
"0010001",1,637,252,19
"0010002",2,1041,157,34
"0010003",3,554,105,9
"0010004",4,732,104,11
"0010005",5,174,15,2
"0010006",6,261,375,10
"0010007",7,87,440,9
"0010008",8,44,101,4
"0010009",9,552,129,21
"0010010",10,229,26,4
"0010011",11,486,143,13
"0010013",12,580,253,32
"0010015",13,468,65,9
"0010016",14,339,92,12
"0010017",15,329,101,8
"0010018",16,895,197,22
"0010019",17,774,241,22
"0010020",18,392,151,11
"0010021",19,830,137,14
"0010022",20,524,103,5
"0010023",21,681,81,13
"0010024",22,435,46,9
"0030001",23,710,193,8
"0030002",24,1236,194,42
"0030003",25,768,189,29
"0030004",26,542,176,13
"0050001",27,121,92,3
"0050002",28,251,739,7
"0050003",29,742,171,16
"0050004",30,343,269,6
"0050005",31,501,396,19
"0050006",32,194,40,7
"0050007",33,619,82,5
"0050008A",34,394,54,4
"0050008B",35,252,36,5
"0050009",36,148,42,3
"0050010A",37,221,203,3
"0050010B",38,27,25,0
"0050011",39,1069,113,18
"0050012",40,385,83,7
"0050013",41,184,139,8
"0050014",42,739,313,16
"0050015",43,288,69,1
"0050016",44,433,451,20
"0050017",45,812,113,9
"0050018",46,218,114,5
"0050019",47,626,285,17
"0050020",48,138,896,17
"0050021",49,502,159,10
"0050022",50,520,84,11
"0050023",51,291,53,6
"0050024",52,981,265,21
"0050025",53,948,209,14
"0050026",54,861,120,9
"0050027",55,195,25,4
"0050028A",56,469,115,17
"0050028B",57,53,14,2
"0050029",58,678,131,11
"0050030",59,504,44,10
"0050031",60,147,51,3
"0050032",61,53,6,0
"0050033",62,654,61,8
"0050034",63,911,321,15
"0050035",64,799,249,14
"0050036",65,5,0,0
"0050037",66,218,43,7
"0050038",67,171,35,1
"0050039",68,186,84,3
"0050040",69,271,161,12
"005011B",70,463,100,11
"005017B",71,177,18,3
"0070001",72,909,243,19
"0070002",73,995,489,42
"0070003",74,1875,618,48
"0070004",75,1686,536,48
"007001A",76,541,152,19
"007004A",77,544,143,9
"0090001",78,600,68,11
"0090002",79,520,57,11
"0090003",80,185,29,3
"0090004",81,364,19,5
"0090005",82,81,7,1
"0090006",83,512,88,9
"0090007",84,119,10,2
"0090008",85,179,29,4
"0090009",86,94,10,0
"0090010",87,427,67,3
"0090011",88,62,9,2
"0110101",89,214,14,4
"0110201",90,105,21,5
"0110202",91,37,10,3
"0110301",92,167,11,2
"0110303",93,26,8,1
"0110401",94,120,8,3
"0110402",95,97,6,3
"0110404",96,18,0,1
"0130001",97,274,95,7
"0130002",98,274,204,18
"0130003",99,382,243,7
"0130004",100,39,22,2
"0130005",101,359,334,12
"0130006",102,46,6,1
"0130007",103,380,254,23
"0130008",104,160,90,12
"0130009",105,60,18,3
"0130010",106,359,213,10
"0130011",107,35,8,0
"0130012",108,352,220,20
"0130013",109,696,372,26
"0130014",110,133,55,3
"0130015",111,426,364,24
"0130016",112,82,49,1
"0130017",113,296,506,19
"0130018",114,404,269,13
"0130019",115,141,58,3
"0130020",116,1448,470,26
