CNTYVTD,VTDKEY,HerveyR_18G_CCA 7,FranklinD_18G_CCA 7
"0010001",1,670,237
"0010002",2,1066,156
"0010003",3,567,93
"0010004",4,739,98
"0010005",5,179,11
"0010006",6,276,366
"0010007",7,87,440
"0010008",8,46,101
"0010009",9,560,130
"0010010",10,233,25
"0010011",11,494,137
"0010013",12,614,245
"0010015",13,481,56
"0010016",14,347,90
"0010017",15,341,94
"0010018",16,916,185
"0010019",17,795,231
"0010020",18,408,137
"0010021",19,854,123
"0010022",20,533,92
"0010023",21,695,80
"0010024",22,453,34
"0030001",23,715,191
"0030002",24,1289,174
"0030003",25,795,177
"0030004",26,541,177
"0050001",27,132,85
"0050002",28,257,738
"0050003",29,750,164
"0050004",30,351,262
"0050005",31,523,381
"0050006",32,204,32
"0050007",33,628,67
"0050008A",34,397,48
"0050008B",35,256,31
"0050009",36,154,37
"0050010A",37,224,200
"0050010B",38,27,25
"0050011",39,1096,95
"0050012",40,383,82
"0050013",41,191,136
"0050014",42,769,286
"0050015",43,302,56
"0050016",44,450,444
"0050017",45,818,107
"0050018",46,227,104
"0050019",47,657,257
"0050020",48,148,900
"0050021",49,514,148
"0050022",50,528,79
"0050023",51,303,45
"0050024",52,997,250
"0050025",53,972,186
"0050026",54,879,106
"0050027",55,200,20
"0050028A",56,489,105
"0050028B",57,56,12
"0050029",58,687,125
"0050030",59,508,46
"0050031",60,149,50
"0050032",61,53,6
"0050033",62,663,54
"0050034",63,946,288
"0050035",64,828,217
"0050036",65,5,0
"0050037",66,223,44
"0050038",67,172,33
"0050039",68,184,83
"0050040",69,282,157
"005011B",70,465,100
"005017B",71,180,15
"0070001",72,941,221
"0070002",73,1028,485
"0070003",74,1947,548
"0070004",75,1769,480
"007001A",76,551,149
"007004A",77,566,131
"0090001",78,607,57
"0090002",79,521,59
"0090003",80,188,26
"0090004",81,371,10
"0090005",82,81,8
"0090006",83,521,72
"0090007",84,119,9
"0090008",85,179,29
"0090009",86,95,9
"0090010",87,432,63
"0090011",88,66,7
"0110101",89,210,12
"0110201",90,107,18
"0110202",91,41,6
"0110301",92,163,8
"0110303",93,25,8
"0110401",94,123,6
"0110402",95,100,6
"0110404",96,19,0
"0130001",97,284,86
"0130002",98,282,214
"0130003",99,401,221
"0130004",100,46,16
"0130005",101,363,339
"0130006",102,48,3
"0130007",103,406,240
"0130008",104,171,87
"0130009",105,69,12
"0130010",106,347,220
"0130011",107,36,7
"0130012",108,365,224
"0130013",109,724,364
"0130014",110,134,54
"0130015",111,448,357
"0130016",112,77,52
"0130017",113,291,524
"0130018",114,416,258
"0130019",115,143,57
"0130020",116,1501,421
"0130021",117,126,17
"0130022",118,319,79
"0130023",119,148,132
"0130024",120,532,293
"0150101",121,588,117
"0150102",122,618,161
"0150103",123,807,102
"0150104",124,398,72
"0150205",125,922,185
"0150206",126,297,54
"0150207",127,210,24
"0150208",128,369,60
"0150209",129,317,72
"0150210",130,377,61
"0150211",131,200,26
"0150312",132,353,26
"0150313",133,230,249
"0150314",134,1097,291
"0150415",135,524,184
"0150416",136,514,140
"0150417",137,231,104
"0150418",138,708,105
"0170001",139,373,102
"0170002",140,525,70
"0170003",141,195,79
"0170004A",142,92,94
"0170004B",143,5,5
"0190101",144,834,177
"0190102",145,1307,275
"0190203",146,964,293
"0190204",147,726,216
"0190305",148,1176,216
"0190306",149,799,120
"0190407",150,1188,224
"0190408",151,141,48
"0190409",152,333,95
"0190410",153,292,51
"0211001",154,1183,759
"0211002",155,669,701
"0211003",156,1115,748
"0211004",157,614,570
"0211022",158,1029,686
"0212005",159,878,664
"0212006",160,575,294
"0212007",161,973,317
"0212008",162,425,180
"0212009",163,440,292
"0212010",164,561,240
"0212011",165,912,576
"0213012",166,411,137
"0213013",167,611,282
"0213014",168,622,600
"0213015",169,495,734
"0213016",170,845,646
"0214017",171,635,814
"0214018",172,272,135
"0214019",173,825,623
"0214020",174,951,1036
"0214021",175,501,262
"0230001",176,298,41
"0230002",177,231,35
"0230003",178,215,38
"0230004",179,296,34
"0250001",180,584,384
"0250002",181,157,11
"0250003",182,423,276
"0250004",183,138,36
"0250005",184,120,48
"0250006",185,380,209
"0250008",186,91,29
"0250009",187,84,239
"0250010",188,188,318
"0250011",189,91,45
"0250012",190,117,53
"0250013",191,419,227
"0250014",192,80,53
"0250016",193,300,196
"0250017",194,255,239
"0250018",195,696,246
"0250019",196,71,152
"0270101",197,2817,921
"0270102",198,1307,451
"0270103",199,1704,770
"0270104",200,3273,984
"0270105",201,735,125
"0270106",202,707,1375
"0270107",203,192,84
"0270108",204,775,142
"0270109",205,395,573
"0270110",206,193,166
"0270111",207,1716,991
"0270113",208,130,34
"0270201",209,784,716
"0270202",210,1870,1165
"0270203",211,3636,810
"0270204",212,425,546
"0270205",213,676,1273
"0270206",214,335,544
"0270207",215,451,934
"0270208",216,1029,1968
"0270209",217,1773,1932
"0270210",218,1121,1658
"0270301",219,1627,316
"0270302",220,1280,803
"0270303",221,1289,1009
"0270304",222,330,101
"0270305",223,1115,466
"0270306",224,368,520
"0270307",225,293,755
"0270308",226,449,469
"0270309",227,412,50
"0270310",228,273,33
"0270311",229,1385,270
"0270312",230,828,154
"0270313",231,1206,442
"0270314",232,736,557
"0270315",233,2299,1153
"0270317",234,2872,1253
"0270401",235,524,156
"0270402",236,1009,448
"0270404",237,643,1250
"0270405",238,518,1334
"0270406",239,496,549
"0270408",240,912,1613
"0270409",241,464,451
"0270410",242,262,460
"0270412",243,554,1681
"0270413",244,864,1868
"0291001",245,82,320
"0291002",246,125,226
"0291003",247,161,802
"0291004",248,50,288
"0291005",249,46,238
"0291006",250,153,704
"0291007",251,118,475
"0291008",252,173,834
"0291009",253,298,479
"0291010",254,55,252
"0291011",255,48,135
"0291012",256,259,562
"0291013",257,134,798
"0291014",258,67,380
"0291015",259,88,375
"0291016",260,66,352
"0291017",261,29,50
"0291018",262,164,663
"0291019",263,60,243
"0291020",264,204,749
"0291021",265,132,512
"0291022",266,80,288
"0291023",267,123,725
"0291024",268,500,938
"0291025",269,25,149
"0291026",270,86,367
"0291027",271,49,65
"0291028",272,95,286
"0291029",273,138,605
"0291030A",274,9,8
