CNTYVTD,VTDKEY,SlaughterR_18G_CCA 8,AshL_18G_CCA 8
"0010001",1,689,143
"0010002",2,1063,84
"0010003",3,572,53
"0010004",4,749,48
"0010005",5,181,8
"0010006",6,285,121
"0010007",7,107,153
"0010008",8,53,48
"0010009",9,562,83
"0010010",10,236,10
"0010011",11,493,73
"0010013",12,640,118
"0010015",13,491,28
"0010016",14,353,53
"0010017",15,346,54
"0010018",16,932,91
"0010019",17,807,109
"0010020",18,416,79
"0010021",19,872,65
"0010022",20,540,43
"0010023",21,694,52
"0010024",22,452,22
"0030001",23,738,51
"0030002",24,1289,99
"0030003",25,804,92
"0030004",26,553,61
"0050001",27,144,30
"0050002",28,293,135
"0050003",29,761,61
"0050004",30,371,61
"0050005",31,536,137
"0050006",32,211,14
"0050007",33,628,34
"0050008A",34,399,25
"0050008B",35,256,16
"0050009",36,155,17
"0050010A",37,233,52
"0050010B",38,28,5
"0050011",39,1096,37
"0050012",40,387,42
"0050013",41,199,55
"0050014",42,785,121
"0050015",43,311,13
"0050016",44,481,134
"0050017",45,816,50
"0050018",46,238,39
"0050019",47,688,98
"0050020",48,172,132
"0050021",49,516,57
"0050022",50,536,28
"0050023",51,309,16
"0050024",52,1018,102
"0050025",53,980,62
"0050026",54,884,49
"0050027",55,201,11
"0050028A",56,501,45
"0050028B",57,59,4
"0050029",58,693,56
"0050030",59,509,18
"0050031",60,156,16
"0050032",61,53,0
"0050033",62,672,34
"0050034",63,970,139
"0050035",64,854,77
"0050036",65,4,0
"0050037",66,219,22
"0050038",67,174,14
"0050039",68,198,24
"0050040",69,297,63
"005011B",70,476,43
"005017B",71,182,4
"0070001",72,956,121
"0070002",73,1076,243
"0070003",74,2029,302
"0070004",75,1832,273
"007001A",76,564,83
"007004A",77,583,65
"0090001",78,607,25
"0090002",79,529,26
"0090003",80,195,7
"0090004",81,368,10
"0090005",82,83,2
"0090006",83,533,30
"0090007",84,119,4
"0090008",85,184,9
"0090009",86,94,4
"0090010",87,438,29
"0090011",88,65,6
"0110101",89,212,6
"0110201",90,107,6
"0110202",91,39,2
"0110301",92,162,6
"0110303",93,25,3
"0110401",94,121,6
"0110402",95,100,4
"0110404",96,18,0
"0130001",97,292,54
"0130002",98,323,120
"0130003",99,446,116
"0130004",100,48,6
"0130005",101,418,180
"0130006",102,48,2
"0130007",103,444,130
"0130008",104,187,45
"0130009",105,69,10
"0130010",106,394,85
"0130011",107,36,3
"0130012",108,403,106
"0130013",109,804,180
"0130014",110,141,25
"0130015",111,501,172
"0130016",112,88,19
"0130017",113,399,228
"0130018",114,458,112
"0130019",115,160,29
"0130020",116,1603,239
"0130021",117,127,7
"0130022",118,327,43
"0130023",119,175,68
"0130024",120,583,160
"0150101",121,598,62
"0150102",122,638,88
"0150103",123,815,59
"0150104",124,407,33
"0150205",125,933,108
"0150206",126,304,21
"0150207",127,213,14
"0150208",128,378,34
"0150209",129,325,34
"0150210",130,386,30
"0150211",131,202,12
"0150312",132,354,15
"0150313",133,256,114
"0150314",134,1123,165
"0150415",135,547,96
"0150416",136,523,72
"0150417",137,242,35
"0150418",138,714,71
"0170001",139,388,44
"0170002",140,534,38
"0170003",141,205,36
"0170004A",142,105,34
"0170004B",143,6,2
"0190101",144,853,106
"0190102",145,1321,178
"0190203",146,987,192
"0190204",147,747,138
"0190305",148,1182,133
"0190306",149,793,83
"0190407",150,1210,143
"0190408",151,144,32
"0190409",152,343,47
"0190410",153,299,29
"0211001",154,1260,415
"0211002",155,745,343
"0211003",156,1187,394
"0211004",157,659,322
"0211022",158,1087,359
"0212005",159,938,323
"0212006",160,592,174
"0212007",161,998,190
"0212008",162,428,99
"0212009",163,462,171
"0212010",164,567,157
"0212011",165,947,331
"0213012",166,413,77
"0213013",167,626,151
"0213014",168,675,309
"0213015",169,560,387
"0213016",170,875,374
"0214017",171,705,422
"0214018",172,293,68
"0214019",173,859,366
"0214020",174,1027,492
"0214021",175,512,166
"0230001",176,306,19
"0230002",177,232,19
"0230003",178,213,25
"0230004",179,293,23
"0250001",180,638,138
"0250002",181,155,5
"0250003",182,459,111
"0250004",183,139,19
"0250005",184,141,12
"0250006",185,408,71
"0250008",186,95,14
"0250009",187,129,74
"0250010",188,244,86
"0250011",189,101,9
"0250012",190,121,12
"0250013",191,451,75
"0250014",192,92,15
"0250016",193,325,86
"0250017",194,294,73
"0250018",195,732,97
"0250019",196,97,45
"0270101",197,2909,558
"0270102",198,1345,254
"0270103",199,1773,445
"0270104",200,3369,586
"0270105",201,742,72
"0270106",202,829,802
"0270107",203,204,44
"0270108",204,787,69
"0270109",205,435,280
"0270110",206,207,107
"0270111",207,1809,631
"0270113",208,133,22
"0270201",209,843,438
"0270202",210,1971,707
"0270203",211,3703,479
"0270204",212,471,305
"0270205",213,793,695
"0270206",214,389,336
"0270207",215,547,550
"0270208",216,1210,1165
"0270209",217,2019,1186
"0270210",218,1290,1050
"0270301",219,1651,198
"0270302",220,1390,424
"0270303",221,1393,498
"0270304",222,337,44
"0270305",223,1153,263
"0270306",224,409,226
"0270307",225,351,303
"0270308",226,505,239
"0270309",227,411,25
"0270310",228,275,15
"0270311",229,1417,148
"0270312",230,826,71
"0270313",231,1247,234
"0270314",232,803,288
"0270315",233,2421,726
"0270317",234,3000,671
"0270401",235,530,100
"0270402",236,1053,267
"0270404",237,738,633
"0270405",238,644,832
"0270406",239,559,309
"0270408",240,1070,891
"0270409",241,512,276
"0270410",242,286,252
"0270412",243,709,869
"0270413",244,1072,1153
"0291001",245,122,119
"0291002",246,142,90
"0291003",247,254,337
"0291004",248,76,95
"0291005",249,77,84
"0291006",250,236,222
"0291007",251,161,165
"0291008",252,264,348
"0291009",253,352,243
"0291010",254,83,101
"0291011",255,56,48
"0291012",256,322,197
"0291013",257,224,279
"0291014",258,94,109
"0291015",259,131,122
"0291016",260,93,121
"0291017",261,36,15
"0291018",262,240,252
"0291019",263,77,87
"0291020",264,298,283
"0291021",265,187,188
"0291022",266,104,90
"0291023",267,185,222
"0291024",268,606,366
"0291025",269,38,36
"0291026",270,105,104
"0291027",271,48,35
"0291028",272,118,108
"0291029",273,205,205
"0291030A",274,7,7
"0291030B",275,0,0
"0291031",276,137,128
"0291032",277,173,207
"0291033",278,265,199
"0291034",279,831,357
"0291035",280,117,63
"0291036",281,661,391
"0291037",282,325,247
"0291038",283,502,311
"0291039",284,230,228
"0291040",285,260,240
"0291041",286,176,178
"0291042",287,120,96
"0291043",288,240,146
"0291044",289,260,221
"0291045",290,387,371
"0291046",291,236,215
"0291047",292,189,153
"0291048",293,265,231
"0291049",294,306,223
"0291050",295,204,158
"0291051",296,323,205
"0291052",297,281,202
"0291053",298,31,30
"0291054",299,296,274
"0291055",300,426,298
"0291056",301,490,328
"0291057",302,457,170
"0291058",303,527,186
"0291059",304,70,30
"0291060",305,285,256
"0291061",306,248,242
"0291062",307,34,8
"0291063",308,401,133
"0291064A",309,271,93
"0291064B",310,0,0
"0291065",311,475,168
"0291066",312,122,53
"0291067",313,802,203
"0291068",314,256,129
"0291069",315,161,63
"0291070",316,176,106
"0291071",317,367,212
"0291072",318,280,275
"0291073",319,895,495
"0291074",320,3,4
"0291075",321,207,216
"0291076",322,530,281
"0291077",323,166,203
"0291078",324,45,55
"0291079",325,478,363
"0291080",326,556,538
"0291081",327,623,97
"0291082",328,782,546
"0291083",329,689,432
"0291084",330,264,196
"0291085",331,224,170
"0291086",332,431,260
"0291087",333,184,162
"0291088",334,92,78
"0291089",335,335,153
"0291090",336,0,0
"0291091",337,346,285
"0291092",338,86,92
"0291093",339,197,127
"0291094",340,291,265
"0291095",341,38,29
"0291096",342,3,2
"0291097",343,104,89
"0291098",344,77,93
"0291099",345,586,423
"0291100",346,567,340
"0291101",347,0,0
"0291102",348,246,82
"0291103",349,140,52
"0291104",350,770,437
"0291105",351,103,69
"0291106",352,0,0
"0291107",353,522,207
"0291108",354,1324,628
"0291109",355,2,1
"0291110",356,545,336
"0291111",357,1129,665
"0291112",358,697,521
"0291113",359,612,407
"0291114",360,0,0
"0291115",361,38,15
"0291116",362,317,132
"0291117",363,62,37
"0291118",364,654,329
"0291119",365,16,7
"0291120",366,8,10
"0291121",367,818,426
"0291122",368,1485,595
"0291123",369,131,39
"0291124",370,126,61
"0291125",371,613,299
"0291126",372,0,0
"0291127",373,61,49
"0291128",374,251,158
"0291129",375,260,165
"0291130",376,0,0
"0291131",377,0,0
"0291132",378,1,0
"0291133",379,1,0
"0291134",380,0,0
"0291135",381,0,0
"0291136",382,65,30
"0291137",383,0,0
"0291138",384,69,73
"0291139",385,136,103
"0291140",386,256,157
"0291141",387,378,228
"0291142",388,264,199
"0291143",389,749,337
"0291144",390,1373,285
"0291145",391,83,20
"0291146",392,47,10
"0291147",393,486,367
"0291148",394,70,49
"0291149",395,401,289
"0291150",396,452,276
"0291151",397,364,191
"0292001",398,49,77
"0292002",399,96,103
"0292003",400,141,190
"0292004",401,202,242
"0292005",402,132,128
"0292006",403,0,1
"0292007",404,144,146
"0292008",405,86,90
"0292009",406,305,287
"0292010",407,314,181
"0292011",408,166,202
"0292012",409,88,148
"0292013",410,150,149
"0292014",411,159,141
"0292015",412,110,162
"0292016",413,67,110
"0292017",414,70,87
"0292018",415,148,139
"0292019",416,116,119
"0292020",417,163,235
"0292021",418,225,245
"0292022",419,127,153
"0292023",420,362,405
"0292024",421,225,227
"0292025",422,310,367
"0292026",423,412,337
"0292027",424,264,214
"0292028",425,467,360
"0292029",426,107,107
"0292030",427,124,136
"0292031",428,95,151
"0292032",429,48,51
"0292033",430,62,41
"0292034",431,65,67
"0292035",432,290,278
"0292036",433,488,313
"0292037",434,495,200
"0292038",435,379,226
"0292039A",436,192,212
"0292039B",437,0,0
"0292040",438,362,288
"0292041",439,387,312
"0292042",440,154,160
"0292043",441,186,180
"0292044",442,228,219
"0292045",443,365,418
"0292046",444,425,384
"0292047",445,324,261
"0292048",446,155,210
"0292049",447,421,374
"0292050",448,317,258
"0292051",449,95,74
"0292052",450,99,117
"0292053",451,122,197
"0292054",452,329,375
"0292055",453,434,400
"0292056",454,188,181
"0292057",455,254,244
"0292058",456,303,287
"0292059",457,286,258
"0292060",458,210,191
"0292061",459,246,152
"0292062",460,226,166
"0292063",461,792,201
"0292064",462,483,339
"0292065",463,826,563
"0292066",464,1240,520
"0292067",465,41,52
"0292068",466,1146,564
"0292069",467,529,426
"0292070",468,167,170
"0292071",469,65,51
"0292072",470,776,444
"0292073",471,189,146
"0292074",472,81,70
"0292075",473,77,69
"0292076",474,646,341
"0292077",475,668,335
"0292078",476,467,351
"0292079",477,36,50
"0292080",478,216,156
"0292081",479,144,133
"0292082",480,247,173
"0292083",481,117,155
"0292084",482,1296,438
"0292085",483,215,194
"0292086",484,855,444
"0292087",485,603,224
"0292088",486,823,566
"0292089",487,42,41
"0292090",488,288,233
"0292091",489,467,453
"0292092",490,105,58
"0292093",491,237,143
"0292094",492,85,7
"0292095",493,899,258
"0292096",494,343,363
"0292097",495,490,373
"0292098",496,241,176
"0292099",497,460,223
"0292100",498,226,153
"0292101",499,505,179
"0292102",500,725,374
"0292103",501,15,33
"0292104",502,23,29
"0292105",503,55,51
"0292106",504,83,82
"0292107",505,651,394
"0292108",506,425,158
"0292109",507,0,1
"0292110",508,283,174
"0292111",509,203,132
"0292112",510,453,212
"0292113",511,13,11
"0292114",512,381,306
"0292115",513,1316,578
"0292116",514,0,0
"0292117",515,60,69
"0292118",516,4,2
"0292119",517,85,75
"0292120",518,264,171
"0292121",519,107,52
"0292122",520,208,258
"0292123",521,616,266
"0292124",522,213,111
"0292125",523,381,211
"0292126",524,277,175
"0292127",525,687,357
"0292128",526,200,250
"0292129",527,1,2
"0292130",528,509,301
"0292131",529,70,59
"0292132",530,1,0
"0292133",531,98,41
"0292134",532,192,173
"0292135",533,92,93
"0292136",534,1082,577
"0292137",535,230,147
"0292138",536,218,133
"0292139",537,528,259
"0292140",538,272,208
"0292141",539,358,189
"0292142",540,87,82
"0292143",541,556,235
"0292144",542,440,262
"0292145",543,96,60
"0292146",544,11,17
"0292147",545,98,58
"0292148",546,782,661
"0292149",547,301,267
"0292150",548,0,2
"0292151",549,3,3
"0292152",550,66,88
"0292153",551,57,50
"0292154",552,1036,586
"0292155",553,1,0
"0292156",554,213,189
"0292157",555,0,0
"0292158",556,0,0
"0292159",557,44,36
"0292160",558,0,1
"0293001",559,1174,364
"0293002",560,700,340
"0293003",561,24,11
"0293004",562,0,1
"0293005",563,1043,227
"0293006",564,416,150
"0293007",565,923,334
"0293008",566,46,9
"0293009",567,9,1
"0293010",568,130,80
"0293011",569,403,161
"0293012",570,496,86
"0293013",571,533,286
"0293014",572,176,80
"0293015",573,110,52
"0293016",574,71,26
"0293017",575,1242,210
"0293018",576,841,222
"0293019",577,137,110
"0293020",578,1072,344
"0293021",579,1401,157
"0293022",580,655,220
"0293023",581,666,378
"0293024",582,0,0
"0293025",583,756,227
"0293026",584,717,171
"0293027",585,632,211
"0293028",586,659,270
"0293029",587,394,203
"0293030",588,1016,251
"0293031",589,7,6
"0293032",590,481,360
"0293033",591,970,214
"0293034",592,1537,157
"0293035",593,258,112
"0293036",594,888,643
"0293037",595,843,457
"0293038",596,446,190
"0293039",597,1626,435
"0293040",598,716,317
"0293041",599,229,65
"0293042",600,879,244
"0293043",601,1190,252
"0293044",602,553,232
"0293045",603,711,172
"0293046",604,610,213
"0293047",605,769,267
"0293048",606,626,249
"0293049",607,1017,261
"0293050",608,461,118
"0293051",609,166,46
"0293052",610,1639,579
"0293053",611,750,200
"0293054",612,477,271
"0293055",613,1419,202
"0293056",614,445,298
"0293057",615,222,80
"0293058",616,772,570
"0293059",617,599,224
"0293060",618,638,300
"0293061",619,535,276
"0293062",620,16,5
"0293063",621,695,294
"0293064",622,148,80
"0293065",623,13,10
"0293066",624,700,294
"0293067",625,626,228
"0293068",626,462,445
"0293069",627,1190,464
"0293070",628,1070,353
"0293071",629,687,394
"0293072",630,1470,479
"0293073",631,568,231
"0293074",632,1058,354
"0293075",633,1559,308
"0293076",634,719,140
"0293077",635,1014,336
"0293078",636,1130,382
"0293079",637,1326,425
"0293080",638,449,138
"0293081",639,818,326
"0293082",640,773,353
"0293083",641,621,184
"0293084",642,1066,454
"0293085",643,450,202
"0293086A",644,749,258
"0293086B",645,0,0
"0293087",646,597,184
"0293088",647,1281,390
"0293089",648,2087,397
"0293090",649,1113,445
"0293091",650,469,71
"0293092",651,1435,243
"0293093",652,1877,517
"0293094",653,1380,383
"0293095",654,546,451
"0293096",655,1362,417
"0293097",656,4,0
"0293098",657,489,186
"0293099",658,1182,460
"0293100",659,923,439
"0293101",660,944,343
"0293102",661,1279,391
"0293103",662,177,103
"0293104",663,1074,331
"0293105",664,1022,432
"0293106A",665,756,193
"0293106B",666,0,0
"0293107",667,391,267
"0293108",668,684,176
"0293109",669,704,416
"0293110",670,951,459
"0293111",671,0,1
"0293112",672,340,223
"0293113",673,214,168
"0293114",674,1147,222
"0293115",675,893,217
"0293116",676,458,261
"0293117",677,1261,418
"0293118",678,337,120
"0293119",679,1195,568
"0293120",680,979,520
"0293121",681,1496,574
"0293122",682,801,312
"0293123",683,221,58
"0293124",684,1122,409
"0293125A",685,1336,373
"0293125B",686,3,0
"0293126",687,684,203
"0293127",688,1007,545
"0293128",689,27,10
"0293129",690,878,527
