CNTYVTD,VTDKEY,KellerR_18G_CCA Pres Judge,StrangeL_18G_CCA Pres Judge,JacksonD_18G_CCA Pres Judge
"0010001",1,651,19,237
"0010002",2,1052,11,160
"0010003",3,558,6,96
"0010004",4,733,11,93
"0010005",5,175,3,13
"0010006",6,263,12,365
"0010007",7,84,4,440
"0010008",8,44,3,101
"0010009",9,554,14,126
"0010010",10,230,6,22
"0010011",11,479,15,138
"0010013",12,598,22,242
"0010015",13,476,7,54
"0010016",14,348,9,85
"0010017",15,341,5,92
"0010018",16,909,16,180
"0010019",17,776,25,225
"0010020",18,404,14,126
"0010021",19,840,17,120
"0010022",20,530,4,91
"0010023",21,687,15,74
"0010024",22,444,6,37
"0030001",23,696,20,191
"0030002",24,1258,31,175
"0030003",25,779,14,179
"0030004",26,532,13,178
"0050001",27,131,1,85
"0050002",28,249,12,737
"0050003",29,744,14,162
"0050004",30,348,9,258
"0050005",31,508,20,379
"0050006",32,200,6,32
"0050007",33,624,7,67
"0050008A",34,399,7,43
"0050008B",35,256,5,26
"0050009",36,151,3,37
"0050010A",37,218,5,199
"0050010B",38,26,0,24
"0050011",39,1089,11,91
"0050012",40,381,3,83
"0050013",41,188,9,135
"0050014",42,760,17,284
"0050015",43,299,2,57
"0050016",44,444,10,446
"0050017",45,806,14,106
"0050018",46,222,4,107
"0050019",47,651,13,256
"0050020",48,139,19,890
"0050021",49,509,6,153
"0050022",50,526,7,78
"0050023",51,301,5,42
"0050024",52,986,25,244
"0050025",53,963,16,185
"0050026",54,874,10,101
"0050027",55,196,5,21
"0050028A",56,487,11,100
"0050028B",57,56,1,11
"0050029",58,686,8,124
"0050030",59,504,9,44
"0050031",60,147,0,54
"0050032",61,53,0,6
"0050033",62,659,7,52
"0050034",63,939,18,283
"0050035",64,827,12,210
"0050036",65,5,0,0
"0050037",66,218,8,42
"0050038",67,173,0,32
"0050039",68,185,3,80
"0050040",69,275,5,158
"005011B",70,461,11,93
"005017B",71,178,4,14
"0070001",72,930,13,219
"0070002",73,1005,40,472
"0070003",74,1892,56,555
"0070004",75,1716,55,484
"007001A",76,536,16,148
"007004A",77,554,12,131
"0090001",78,598,7,61
"0090002",79,517,6,57
"0090003",80,186,2,27
"0090004",81,368,2,11
"0090005",82,79,3,6
"0090006",83,523,10,63
"0090007",84,117,3,9
"0090008",85,179,4,27
"0090009",86,95,0,10
"0090010",87,429,7,61
"0090011",88,64,2,7
"0110101",89,210,3,9
"0110201",90,108,3,17
"0110202",91,39,2,6
"0110301",92,161,6,8
"0110303",93,25,0,8
"0110401",94,118,2,8
"0110402",95,98,2,6
"0110404",96,18,1,0
"0130001",97,278,0,89
"0130002",98,272,18,207
"0130003",99,397,12,218
"0130004",100,47,1,16
"0130005",101,351,22,331
"0130006",102,50,0,3
"0130007",103,383,27,236
"0130008",104,165,9,85
"0130009",105,70,1,10
"0130010",106,340,15,213
"0130011",107,33,2,8
"0130012",108,357,14,219
"0130013",109,706,25,352
"0130014",110,126,8,55
"0130015",111,435,25,344
"0130016",112,77,2,51
"0130017",113,287,16,512
"0130018",114,406,8,262
"0130019",115,134,8,58
"0130020",116,1491,33,408
"0130021",117,124,1,18
"0130022",118,315,4,78
"0130023",119,153,10,119
"0130024",120,528,19,280
"0150101",121,578,13,121
"0150102",122,611,12,159
"0150103",123,787,15,109
"0150104",124,392,3,76
"0150205",125,890,32,184
"0150206",126,295,6,51
"0150207",127,207,9,20
"0150208",128,360,8,61
"0150209",129,320,4,69
"0150210",130,378,4,59
"0150211",131,195,3,27
"0150312",132,348,6,29
"0150313",133,226,10,246
"0150314",134,1075,23,299
"0150415",135,523,11,181
"0150416",136,501,15,147
"0150417",137,228,3,104
"0150418",138,694,10,112
"0170001",139,362,10,104
"0170002",140,522,3,74
"0170003",141,188,4,84
"0170004A",142,91,6,89
"0170004B",143,5,0,5
"0190101",144,814,33,165
"0190102",145,1265,44,277
"0190203",146,940,35,284
"0190204",147,708,26,209
"0190305",148,1147,35,219
"0190306",149,773,30,115
"0190407",150,1150,37,228
"0190408",151,136,2,51
"0190409",152,326,13,90
"0190410",153,288,7,49
"0211001",154,1138,71,734
"0211002",155,647,57,671
"0211003",156,1082,57,726
