CNTYVTD,VTDKEY,HegarR_18G_Comptroller,ChevalierD_18G_Comptroller,SandersL_18G_Comptroller
"0010001",1,656,221,28
"0010002",2,1048,148,22
"0010003",3,563,87,11
"0010004",4,734,88,15
"0010005",5,177,8,4
"0010006",6,267,357,16
"0010007",7,86,433,12
"0010008",8,46,98,3
"0010009",9,549,121,24
"0010010",10,228,23,5
"0010011",11,481,134,18
"0010013",12,601,225,33
"0010015",13,480,50,8
"0010016",14,346,83,10
"0010017",15,335,93,7
"0010018",16,909,173,24
"0010019",17,783,216,30
"0010020",18,400,130,13
"0010021",19,844,112,22
"0010022",20,529,89,5
"0010023",21,690,69,16
"0010024",22,442,36,9
"0030001",23,701,184,20
"0030002",24,1271,161,38
"0030003",25,779,163,34
"0030004",26,536,160,26
"0050001",27,132,82,4
"0050002",28,250,735,15
"0050003",29,745,157,18
"0050004",30,349,257,9
"0050005",31,517,366,24
"0050006",32,202,34,4
"0050007",33,625,63,10
"0050008A",34,394,45,7
"0050008B",35,255,27,6
"0050009",36,150,36,5
"0050010A",37,220,196,8
"0050010B",38,27,24,0
"0050011",39,1089,96,11
"0050012",40,382,75,9
"0050013",41,185,134,11
"0050014",42,754,280,26
"0050015",43,302,52,4
"0050016",44,440,440,18
"0050017",45,807,103,20
"0050018",46,228,97,7
"0050019",47,648,244,24
"0050020",48,140,885,26
"0050021",49,509,146,14
"0050022",50,512,76,21
"0050023",51,298,43,9
"0050024",52,985,238,31
"0050025",53,964,171,31
"0050026",54,870,101,14
"0050027",55,200,18,5
"0050028A",56,487,95,17
"0050028B",57,55,11,2
"0050029",58,688,121,9
"0050030",59,500,38,14
"0050031",60,149,50,2
"0050032",61,53,6,0
"0050033",62,661,45,11
"0050034",63,944,279,23
"0050035",64,824,212,17
"0050036",65,5,0,0
"0050037",66,217,42,8
"0050038",67,173,33,0
"0050039",68,186,79,3
"0050040",69,273,153,15
"005011B",70,461,94,13
"005017B",71,183,13,0
"0070001",72,932,204,28
"0070002",73,1024,447,46
"0070003",74,1947,507,63
"0070004",75,1780,441,56
"007001A",76,553,142,12
"007004A",77,564,121,15
"0090001",78,600,58,14
"0090002",79,524,51,8
"0090003",80,187,26,4
"0090004",81,370,12,4
"0090005",82,80,5,3
"0090006",83,518,66,17
"0090007",84,118,10,2
"0090008",85,179,26,6
"0090009",86,92,10,2
"0090010",87,428,62,5
"0090011",88,65,7,1
"0110101",89,213,9,5
"0110201",90,109,16,4
"0110202",91,40,7,2
"0110301",92,164,7,3
"0110303",93,24,7,2
"0110401",94,119,6,4
"0110402",95,97,6,4
"0110404",96,19,0,0
"0130001",97,280,84,8
"0130002",98,278,193,23
"0130003",99,396,212,21
"0130004",100,47,15,1
"0130005",101,350,323,29
"0130006",102,49,3,0
"0130007",103,395,216,40
"0130008",104,161,86,11
"0130009",105,67,11,2
"0130010",106,347,202,21
"0130011",107,34,8,1
"0130012",108,353,209,29
"0130013",109,725,331,31
"0130014",110,129,51,9
"0130015",111,449,329,28
"0130016",112,79,51,2
"0130017",113,279,492,40
"0130018",114,401,245,26
"0130019",115,145,49,5
"0130020",116,1500,372,54
"0130021",117,127,15,2
"0130022",118,322,69,7
"0130023",119,151,120,12
"0130024",120,529,269,29
"0150101",121,586,113,15
"0150102",122,633,141,16
"0150103",123,809,95,17
"0150104",124,399,71,3
"0150205",125,934,172,23
"0150206",126,301,48,5
"0150207",127,220,15,2
"0150208",128,371,54,9
"0150209",129,325,66,6
"0150210",130,384,58,3
"0150211",131,199,24,3
"0150312",132,358,22,7
"0150313",133,238,229,15
"0150314",134,1111,262,33
"0150415",135,550,163,11
"0150416",136,515,130,21
"0150417",137,234,95,5
"0150418",138,708,98,12
"0170001",139,355,104,16
"0170002",140,517,73,16
"0170003",141,192,74,9
"0170004A",142,91,84,12
"0170004B",143,6,4,1
"0190101",144,810,172,31
"0190102",145,1275,261,52
"0190203",146,937,271,57
"0190204",147,712,201,27
"0190305",148,1158,210,34
"0190306",149,781,113,24
"0190407",150,1162,216,40
"0190408",151,137,51,2
"0190409",152,324,91,13
"0190410",153,291,49,9
"0211001",154,1177,682,95
"0211002",155,669,637,76
"0211003",156,1112,683,75
"0211004",157,606,520,59
"0211022",158,1026,631,67
"0212005",159,889,599,68
"0212006",160,564,273,34
"0212007",161,956,290,54
"0212008",162,419,172,18
"0212009",163,425,265,46
"0212010",164,554,214,36
"0212011",165,899,537,65
"0213012",166,408,116,26
"0213013",167,598,265,40
"0213014",168,622,560,44
"0213015",169,486,677,67
"0213016",170,827,613,56
"0214017",171,625,768,66
"0214018",172,277,119,13
"0214019",173,817,572,73
"0214020",174,930,952,113
"0214021",175,484,233,48
"0230001",176,299,35,11
"0230002",177,224,34,7
"0230003",178,215,36,5
"0230004",179,296,29,12
"0250001",180,575,365,29
"0250002",181,154,10,4
"0250003",182,413,258,35
"0250004",183,135,30,8
"0250005",184,122,45,3
"0250006",185,371,205,16
"0250008",186,92,22,7
"0250009",187,90,215,19
"0250010",188,189,295,24
"0250011",189,91,43,4
"0250012",190,117,51,2
"0250013",191,420,207,25
"0250014",192,82,50,1
"0250016",193,293,176,30
"0250017",194,249,230,15
"0250018",195,699,226,27
"0250019",196,71,147,10
"0270101",197,2755,860,127
"0270102",198,1272,429,59
"0270103",199,1692,701,82
"0270104",200,3234,904,136
"0270105",201,722,120,13
"0270106",202,689,1289,104
"0270107",203,188,79,7
"0270108",204,767,128,24
"0270109",205,376,547,46
"0270110",206,187,154,15
"0270111",207,1682,910,123
"0270113",208,126,36,3
"0270201",209,782,663,64
"0270202",210,1831,1094,118
"0270203",211,3615,729,123
"0270204",212,420,511,38
"0270205",213,660,1209,74
"0270206",214,322,512,41
"0270207",215,439,867,77
"0270208",216,1011,1865,119
"0270209",217,1787,1795,127
"0270210",218,1103,1568,108
"0270301",219,1600,280,66
"0270302",220,1289,743,59
"0270303",221,1254,958,94
"0270304",222,327,100,8
"0270305",223,1114,435,44
"0270306",224,360,500,36
"0270307",225,287,723,43
"0270308",226,443,449,33
"0270309",227,402,50,9
"0270310",228,272,29,5
"0270311",229,1369,245,41
"0270312",230,822,148,16
"0270313",231,1203,410,44
"0270314",232,727,509,58
"0270315",233,2247,1050,169
"0270317",234,2835,1183,115
"0270401",235,504,145,33
"0270402",236,1009,417,30
"0270404",237,635,1184,71
"0270405",238,505,1267,81
"0270406",239,491,523,37
"0270408",240,871,1568,84
"0270409",241,450,421,44
"0270410",242,264,424,34
"0270412",243,548,1601,92
"0270413",244,837,1784,109
"0291001",245,85,307,8
"0291002",246,125,217,9
"0291003",247,150,777,52
"0291004",248,50,283,8
"0291005",249,46,229,17
"0291006",250,155,680,27
"0291007",251,120,459,13
"0291008",252,164,820,32
"0291009",253,287,451,42
"0291010",254,57,243,10
"0291011",255,45,133,5
"0291012",256,247,539,42
"0291013",257,123,774,40
"0291014",258,62,374,11
"0291015",259,82,367,14
"0291016",260,67,338,15
"0291017",261,27,50,2
"0291018",262,170,633,33
"0291019",263,57,235,12
"0291020",264,206,700,52
"0291021",265,134,491,21
"0291022",266,76,282,9
"0291023",267,111,700,35
"0291024",268,484,893,65
"0291025",269,23,144,10
"0291026",270,82,359,15
"0291027",271,45,65,5
"0291028",272,89,269,18
