CNTYVTD,VTDKEY,AbbottR_18G_Governor,ValdezD_18G_Governor,TippettsL_18G_Governor
"0010001",1,699,214,11
"0010002",2,1090,134,13
"0010003",3,593,80,2
"0010004",4,767,77,9
"0010005",5,182,8,1
"0010006",6,286,354,9
"0010007",7,104,427,4
"0010008",8,48,96,4
"0010009",9,576,120,10
"0010010",10,241,17,2
"0010011",11,509,126,10
"0010013",12,635,224,15
"0010015",13,494,48,2
"0010016",14,367,73,8
"0010017",15,350,90,3
"0010018",16,946,162,10
"0010019",17,828,212,10
"0010020",18,417,132,7
"0010021",19,872,109,6
"0010022",20,549,81,4
"0010023",21,716,59,5
"0010024",22,463,25,6
"0030001",23,733,175,6
"0030002",24,1293,179,17
"0030003",25,818,162,7
"0030004",26,556,171,8
"0050001",27,134,83,1
"0050002",28,279,719,8
"0050003",29,775,150,5
"0050004",30,362,255,4
"0050005",31,530,374,12
"0050006",32,205,33,3
"0050007",33,636,71,3
"0050008A",34,411,43,4
"0050008B",35,262,26,3
"0050009",36,158,36,0
"0050010A",37,232,194,4
"0050010B",38,28,24,0
"0050011",39,1111,95,3
"0050012",40,399,75,2
"0050013",41,195,133,7
"0050014",42,781,285,11
"0050015",43,303,53,4
"0050016",44,474,426,7
"0050017",45,839,91,9
"0050018",46,233,101,3
"0050019",47,677,244,13
"0050020",48,159,882,11
"0050021",49,525,144,5
"0050022",50,540,72,4
"0050023",51,301,47,4
"0050024",52,1028,234,10
"0050025",53,983,176,13
"0050026",54,888,100,10
"0050027",55,203,18,3
"0050028A",56,494,102,8
"0050028B",57,57,11,1
"0050029",58,705,112,7
"0050030",59,517,33,10
"0050031",60,151,50,0
"0050032",61,53,6,0
"0050033",62,675,43,5
"0050034",63,978,270,16
"0050035",64,857,203,9
"0050036",65,6,0,0
"0050037",66,225,38,5
"0050038",67,175,34,0
"0050039",68,194,78,2
"0050040",69,296,143,7
"005011B",70,482,86,6
"005017B",71,185,13,2
"0070001",72,970,199,12
"0070002",73,1082,437,18
"0070003",74,2020,500,31
"0070004",75,1852,410,36
"007001A",76,573,135,3
"007004A",77,578,116,8
"0090001",78,615,61,2
"0090002",79,537,47,5
"0090003",80,192,26,2
"0090004",81,381,10,4
"0090005",82,83,6,1
"0090006",83,541,70,4
"0090007",84,122,9,1
"0090008",85,187,23,2
"0090009",86,95,8,1
"0090010",87,443,55,5
"0090011",88,63,8,1
"0110101",89,227,8,1
"0110201",90,113,19,4
"0110202",91,43,6,1
"0110301",92,169,8,3
"0110303",93,28,7,1
"0110401",94,123,5,2
"0110402",95,100,6,2
"0110404",96,19,0,0
"0130001",97,289,84,4
"0130002",98,313,178,7
"0130003",99,435,190,12
"0130004",100,50,15,0
"0130005",101,403,301,5
"0130006",102,52,1,0
"0130007",103,460,197,6
"0130008",104,184,76,2
"0130009",105,70,9,2
"0130010",106,392,186,8
"0130011",107,35,7,1
"0130012",108,395,195,7
"0130013",109,793,301,10
"0130014",110,148,42,3
"0130015",111,492,321,10
"0130016",112,87,45,0
"0130017",113,375,439,15
"0130018",114,468,221,6
"0130019",115,155,48,2
"0130020",116,1574,347,35
"0130021",117,127,16,0
"0130022",118,332,68,5
"0130023",119,167,112,6
"0130024",120,565,256,12
"0150101",121,597,116,10
"0150102",122,630,152,8
"0150103",123,808,103,13
"0150104",124,404,68,3
"0150205",125,957,169,14
"0150206",126,309,44,3
"0150207",127,216,19,3
"0150208",128,390,49,2
"0150209",129,335,63,4
"0150210",130,386,57,4
"0150211",131,203,23,2
"0150312",132,357,28,5
"0150313",133,251,233,2
"0150314",134,1120,277,24
"0150415",135,556,166,4
"0150416",136,535,126,14
"0150417",137,241,94,3
"0150418",138,714,110,5
"0170001",139,383,102,6
"0170002",140,536,79,2
"0170003",141,210,73,4
"0170004A",142,104,89,5
"0170004B",143,6,5,0
"0190101",144,845,164,11
"0190102",145,1326,253,24
"0190203",146,995,259,20
"0190204",147,736,195,15
"0190305",148,1194,209,10
"0190306",149,807,109,12
"0190407",150,1188,223,15
"0190408",151,136,48,3
"0190409",152,336,92,5
"0190410",153,303,48,5
"0211001",154,1253,693,42
"0211002",155,738,627,36
"0211003",156,1182,686,33
"0211004",157,644,526,25
"0211022",158,1081,633,33
"0212005",159,952,595,40
"0212006",160,602,267,22
"0212007",161,997,276,33
"0212008",162,437,171,10
"0212009",163,463,260,23
"0212010",164,578,222,16
"0212011",165,954,531,46
"0213012",166,432,114,16
"0213013",167,643,257,22
"0213014",168,673,549,18
"0213015",169,525,693,31
