CNTYVTD,VTDKEY,BushR_18G_Land Comm,SuazoD_18G_Land Comm,PinaL_18G_Land Comm
"0010001",1,660,216,34
"0010002",2,1049,147,36
"0010003",3,556,92,17
"0010004",4,719,98,29
"0010005",5,178,9,4
"0010006",6,260,366,21
"0010007",7,87,434,13
"0010008",8,47,97,3
"0010009",9,541,135,24
"0010010",10,215,23,20
"0010011",11,477,141,20
"0010013",12,601,228,34
"0010015",13,477,48,14
"0010016",14,334,83,26
"0010017",15,324,92,22
"0010018",16,910,165,34
"0010019",17,789,219,28
"0010020",18,390,125,33
"0010021",19,826,122,31
"0010022",20,525,90,11
"0010023",21,681,71,26
"0010024",22,434,36,17
"0030001",23,697,183,22
"0030002",24,1260,169,43
"0030003",25,789,165,28
"0030004",26,545,162,17
"0050001",27,131,82,6
"0050002",28,243,741,17
"0050003",29,743,155,24
"0050004",30,349,258,12
"0050005",31,520,365,26
"0050006",32,198,38,6
"0050007",33,618,71,14
"0050008A",34,396,45,12
"0050008B",35,255,26,8
"0050009",36,148,38,6
"0050010A",37,219,195,9
"0050010B",38,27,24,1
"0050011",39,1073,102,23
"0050012",40,389,75,9
"0050013",41,193,131,11
"0050014",42,760,278,26
"0050015",43,295,57,8
"0050016",44,438,444,21
"0050017",45,810,97,24
"0050018",46,230,98,6
"0050019",47,653,250,18
"0050020",48,135,896,22
"0050021",49,508,147,18
"0050022",50,521,77,13
"0050023",51,297,45,6
"0050024",52,980,239,38
"0050025",53,940,197,30
"0050026",54,863,108,17
"0050027",55,193,22,8
"0050028A",56,473,107,20
"0050028B",57,54,13,2
"0050029",58,676,117,27
"0050030",59,498,40,18
"0050031",60,147,46,8
"0050032",61,52,7,0
"0050033",62,662,45,14
"0050034",63,949,269,33
"0050035",64,833,202,21
"0050036",65,5,0,0
"0050037",66,222,42,5
"0050038",67,170,32,5
"0050039",68,186,78,7
"0050040",69,283,147,14
"005011B",70,464,87,17
"005017B",71,180,16,2
"0070001",72,927,207,39
"0070002",73,1014,453,56
"0070003",74,1959,495,76
"0070004",75,1749,450,80
"007001A",76,518,141,49
"007004A",77,553,125,19
"0090001",78,591,66,17
"0090002",79,511,48,21
"0090003",80,184,28,6
"0090004",81,366,12,9
"0090005",82,79,6,5
"0090006",83,520,66,22
"0090007",84,116,13,1
"0090008",85,174,26,11
"0090009",86,89,10,3
"0090010",87,424,60,13
"0090011",88,63,9,2
"0110101",89,213,11,5
"0110201",90,109,17,7
"0110202",91,40,6,4
"0110301",92,162,6,9
"0110303",93,27,7,1
"0110401",94,119,5,3
"0110402",95,92,7,8
"0110404",96,17,0,2
"0130001",97,279,83,12
"0130002",98,279,198,21
"0130003",99,384,209,29
"0130004",100,45,15,1
"0130005",101,383,298,24
"0130006",102,50,2,1
"0130007",103,407,219,29
"0130008",104,173,81,7
"0130009",105,63,10,5
"0130010",106,355,193,28
"0130011",107,35,7,1
"0130012",108,359,202,32
"0130013",109,734,325,38
"0130014",110,134,48,6
"0130015",111,454,326,36
"0130016",112,82,47,2
"0130017",113,311,477,26
"0130018",114,416,242,24
"0130019",115,144,48,12
"0130020",116,1514,361,64
"0130021",117,117,21,3
"0130022",118,313,74,14
"0130023",119,148,116,20
"0130024",120,534,263,33
"0150101",121,572,124,21
"0150102",122,612,148,23
"0150103",123,772,106,32
"0150104",124,372,81,20
"0150205",125,890,196,32
"0150206",126,293,49,9
"0150207",127,209,24,4
"0150208",128,364,55,14
"0150209",129,312,78,8
"0150210",130,373,59,12
"0150211",131,186,29,8
"0150312",132,334,34,15
"0150313",133,229,242,12
"0150314",134,1061,275,68
"0150415",135,515,184,23
"0150416",136,497,135,33
"0150417",137,228,97,10
"0150418",138,680,114,25
"0170001",139,363,102,15
"0170002",140,526,74,9
"0170003",141,204,74,3
"0170004A",142,100,82,7
"0170004B",143,6,4,1
"0190101",144,798,168,50
"0190102",145,1245,266,78
"0190203",146,914,266,84
"0190204",147,687,206,48
"0190305",148,1104,221,77
"0190306",149,755,117,48
"0190407",150,1132,218,70
"0190408",151,134,50,5
"0190409",152,309,92,28
