CNTYVTD,VTDKEY,PatrickR_18G_Lt. Governor,CollierD_18G_Lt. Governor,McKennonL_18G_Lt. Governor
"0010001",1,634,260,26
"0010002",2,1052,163,16
"0010003",3,563,100,7
"0010004",4,732,103,11
"0010005",5,176,12,3
"0010006",6,263,374,8
"0010007",7,90,439,5
"0010008",8,46,100,2
"0010009",9,548,139,15
"0010010",10,232,27,1
"0010011",11,490,140,12
"0010013",12,585,255,26
"0010015",13,477,66,3
"0010016",14,341,97,8
"0010017",15,335,102,5
"0010018",16,896,205,16
"0010019",17,779,249,12
"0010020",18,399,143,9
"0010021",19,832,136,14
"0010022",20,527,98,5
"0010023",21,685,85,8
"0010024",22,431,57,4
"0030001",23,680,222,9
"0030002",24,1161,283,35
"0030003",25,756,212,18
"0030004",26,529,191,11
"0050001",27,113,101,2
"0050002",28,249,734,15
"0050003",29,738,182,7
"0050004",30,341,272,5
"0050005",31,491,405,19
"0050006",32,193,43,6
"0050007",33,586,111,9
"0050008A",34,373,76,7
"0050008B",35,237,47,5
"0050009",36,149,43,1
"0050010A",37,216,208,6
"0050010B",38,26,25,0
"0050011",39,1053,136,13
"0050012",40,379,92,4
"0050013",41,173,148,13
"0050014",42,694,354,24
"0050015",43,284,72,2
"0050016",44,419,463,21
"0050017",45,807,123,8
"0050018",46,209,122,5
"0050019",47,594,323,14
"0050020",48,146,883,21
"0050021",49,486,173,12
"0050022",50,507,96,9
"0050023",51,281,68,3
"0050024",52,937,305,26
"0050025",53,921,225,22
"0050026",54,817,161,13
"0050027",55,190,30,4
"0050028A",56,450,137,15
"0050028B",57,51,15,2
"0050029",58,667,152,6
"0050030",59,487,59,11
"0050031",60,136,63,1
"0050032",61,51,7,0
"0050033",62,618,87,15
"0050034",63,858,380,23
"0050035",64,768,282,17
"0050036",65,5,0,0
"0050037",66,209,57,4
"0050038",67,159,45,1
"0050039",68,177,91,4
"0050040",69,266,168,10
"005011B",70,437,115,17
"005017B",71,177,18,4
"0070001",72,916,245,17
"0070002",73,994,499,31
"0070003",74,1861,630,40
"0070004",75,1687,538,54
"007001A",76,549,148,12
"007004A",77,550,143,7
"0090001",78,577,93,8
"0090002",79,521,62,6
"0090003",80,179,34,6
"0090004",81,350,40,5
"0090005",82,81,6,2
"0090006",83,494,102,12
"0090007",84,115,12,4
"0090008",85,174,33,5
"0090009",86,90,13,1
"0090010",87,416,79,5
"0090011",88,61,11,0
"0110101",89,207,23,2
"0110201",90,98,28,7
"0110202",91,37,10,2
"0110301",92,158,18,4
"0110303",93,22,9,0
"0110401",94,106,20,2
"0110402",95,98,7,1
"0110404",96,18,0,0
"0130001",97,272,94,10
"0130002",98,292,196,10
"0130003",99,400,223,9
"0130004",100,44,21,1
"0130005",101,368,319,16
"0130006",102,44,3,5
"0130007",103,410,235,13
"0130008",104,167,91,2
"0130009",105,60,20,1
"0130010",106,363,212,8
"0130011",107,34,8,1
"0130012",108,358,224,12
"0130013",109,711,359,29
"0130014",110,135,51,6
"0130015",111,446,346,22
"0130016",112,82,49,1
"0130017",113,318,491,13
"0130018",114,411,264,11
"0130019",115,143,55,3
"0130020",116,1448,473,32
"0130021",117,120,23,2
"0130022",118,314,85,6
