CNTYVTD,VTDKEY,CraddickR_18G_RR Comm 1,McAllenD_18G_RR Comm 1,WrightL_18G_RR Comm 1
"0010001",1,666,221,23
"0010002",2,1052,146,26
"0010003",3,567,87,8
"0010004",4,735,93,13
"0010005",5,175,10,6
"0010006",6,259,369,16
"0010007",7,83,439,12
"0010008",8,44,99,4
"0010009",9,556,127,14
"0010010",10,231,21,7
"0010011",11,474,143,17
"0010013",12,601,232,30
"0010015",13,478,50,10
"0010016",14,348,85,9
"0010017",15,335,93,10
"0010018",16,909,178,23
"0010019",17,782,224,26
"0010020",18,403,124,19
"0010021",19,846,115,20
"0010022",20,529,90,8
"0010023",21,688,71,16
"0010024",22,438,37,12
"0030001",23,703,186,18
"0030002",24,1263,162,48
"0030003",25,798,153,30
"0030004",26,540,153,24
"0050001",27,127,85,4
"0050002",28,254,729,18
"0050003",29,745,159,18
"0050004",30,340,264,11
"0050005",31,507,377,24
"0050006",32,201,33,5
"0050007",33,622,67,11
"0050008A",34,397,44,8
"0050008B",35,255,26,6
"0050009",36,152,37,3
"0050010A",37,218,199,9
"0050010B",38,26,24,1
"0050011",39,1081,101,16
"0050012",40,387,77,7
"0050013",41,184,133,13
"0050014",42,758,283,21
"0050015",43,297,56,5
"0050016",44,438,436,23
"0050017",45,810,104,18
"0050018",46,227,101,4
"0050019",47,652,250,18
"0050020",48,141,890,20
"0050021",49,508,150,9
"0050022",50,522,75,11
"0050023",51,295,47,8
"0050024",52,986,240,29
"0050025",53,960,182,24
"0050026",54,867,104,16
"0050027",55,196,19,8
"0050028A",56,479,102,17
"0050028B",57,55,11,2
"0050029",58,680,117,18
"0050030",59,501,42,14
"0050031",60,148,52,1
"0050032",61,53,6,0
"0050033",62,666,42,13
"0050034",63,943,275,26
"0050035",64,827,211,15
"0050036",65,5,0,0
"0050037",66,211,43,13
"0050038",67,171,35,0
"0050039",68,184,80,5
"0050040",69,278,145,18
"005011B",70,460,91,14
"005017B",71,181,13,2
"0070001",72,927,219,21
"0070002",73,1015,460,45
"0070003",74,1927,526,63
"0070004",75,1749,450,61
"007001A",76,544,144,15
"007004A",77,567,123,10
"0090001",78,604,56,11
"0090002",79,523,52,7
"0090003",80,191,24,2
"0090004",81,371,11,6
"0090005",82,79,6,4
"0090006",83,524,64,13
"0090007",84,119,8,3
"0090008",85,182,26,4
"0090009",86,95,9,1
"0090010",87,429,59,8
"0090011",88,66,7,1
"0110101",89,209,11,9
"0110201",90,107,18,6
"0110202",91,41,6,2
"0110301",92,163,9,6
"0110303",93,26,6,1
"0110401",94,121,6,2
"0110402",95,99,5,3
"0110404",96,19,0,0
"0130001",97,282,82,9
"0130002",98,277,202,17
"0130003",99,393,218,11
"0130004",100,47,17,1
"0130005",101,361,317,21
"0130006",102,48,4,0
"0130007",103,392,227,32
"0130008",104,164,84,10
"0130009",105,65,11,5
"0130010",106,345,207,20
"0130011",107,34,9,0
"0130012",108,358,214,19
"0130013",109,727,331,28
"0130014",110,132,51,8
"0130015",111,441,344,26
"0130016",112,80,48,3
"0130017",113,294,495,23
"0130018",114,410,256,16
"0130019",115,141,51,7
"0130020",116,1493,402,41
"0130021",117,125,17,2
"0130022",118,314,77,6
"0130023",119,153,122,9
"0130024",120,535,274,22
"0150101",121,585,119,12
"0150102",122,624,147,12
"0150103",123,799,98,17
"0150104",124,399,70,3
"0150205",125,908,181,30
"0150206",126,294,51,6
"0150207",127,213,22,3
"0150208",128,369,57,8
"0150209",129,321,70,4
"0150210",130,379,57,8
"0150211",131,198,27,1
"0150312",132,352,27,7
"0150313",133,225,242,14
"0150314",134,1087,277,35
"0150415",135,531,173,15
"0150416",136,498,147,19
"0150417",137,231,99,5
"0150418",138,697,111,9
"0170001",139,363,102,11
"0170002",140,523,72,10
"0170003",141,194,78,5
"0170004A",142,91,91,2
"0170004B",143,5,5,0
"0190101",144,826,165,25
"0190102",145,1273,260,51
"0190203",146,950,273,38
"0190204",147,714,200,27
"0190305",148,1153,217,33
"0190306",149,787,114,25
"0190407",150,1165,215,32
"0190408",151,138,45,5
"0190409",152,325,90,15
"0190410",153,291,52,10
"0211001",154,1156,689,104
"0211002",155,658,645,73
"0211003",156,1073,715,89
"0211004",157,587,540,58
"0211022",158,985,657,77
"0212005",159,850,618,83
"0212006",160,553,277,46
"0212007",161,923,317,58
"0212008",162,402,181,24
"0212009",163,415,265,56
"0212010",164,529,225,49
"0212011",165,855,557,85
"0213012",166,393,129,31
"0213013",167,581,282,43
"0213014",168,607,561,57
"0213015",169,460,717,60
"0213016",170,800,618,81
"0214017",171,611,784,69
"0214018",172,266,126,18
"0214019",173,787,591,87
"0214020",174,907,972,119
"0214021",175,459,247,62
"0230001",176,294,36,10
"0230002",177,224,34,8
"0230003",178,211,35,8
"0230004",179,295,33,8
"0250001",180,581,360,31
"0250002",181,151,11,6
"0250003",182,404,271,29
"0250004",183,132,33,7
"0250005",184,121,44,3
"0250006",185,366,199,26
"0250008",186,94,25,3
"0250009",187,80,224,17
"0250010",188,179,307,22
"0250011",189,93,42,2
"0250012",190,116,52,2
"0250013",191,412,209,29
"0250014",192,78,53,3
"0250016",193,285,189,26
"0250017",194,249,231,16
"0250018",195,679,234,36
"0250019",196,62,151,14
"0270101",197,2768,869,108
"0270102",198,1287,428,48
"0270103",199,1682,715,79
"0270104",200,3227,924,122
"0270105",201,713,121,20
"0270106",202,699,1305,78
"0270107",203,188,79,8
"0270108",204,756,136,23
"0270109",205,385,556,30
"0270110",206,193,150,13
"0270111",207,1692,934,90
"0270113",208,126,34,5
"0270201",209,779,665,61
"0270202",210,1826,1104,110
"0270203",211,3586,763,122
"0270204",212,421,514,31
"0270205",213,665,1222,58
"0270206",214,332,511,32
"0270207",215,436,885,65
"0270208",216,1014,1871,105
"0270209",217,1753,1845,107
"0270210",218,1122,1572,84
"0270301",219,1602,278,66
"0270302",220,1282,758,52
"0270303",221,1270,959,76
"0270304",222,329,100,6
"0270305",223,1115,448,31
"0270306",224,363,501,27
"0270307",225,290,729,32
"0270308",226,446,444,31
"0270309",227,403,50,9
"0270310",228,265,34,6
"0270311",229,1358,261,33
"0270312",230,817,154,19
"0270313",231,1190,415,46
"0270314",232,722,522,48
"0270315",233,2272,1069,127
"0270317",234,2835,1190,105
"0270401",235,503,146,32
"0270402",236,1000,421,36
"0270404",237,629,1196,68
"0270405",238,507,1281,61
"0270406",239,501,524,27
"0270408",240,897,1551,72
"0270409",241,449,432,37
"0270410",242,257,428,39
"0270412",243,545,1620,73
"0270413",244,858,1779,93
"0291001",245,89,309,5
"0291002",246,123,222,7
"0291003",247,146,790,42
"0291004",248,54,278,8
"0291005",249,51,225,17
"0291006",250,162,677,21
"0291007",251,125,458,12
"0291008",252,167,813,29
"0291009",253,298,450,30
"0291010",254,57,244,6
"0291011",255,41,135,5
"0291012",256,265,543,22
"0291013",257,127,777,31
"0291014",258,69,376,5
"0291015",259,86,367,11
"0291016",260,68,343,8
"0291017",261,30,49,3
"0291018",262,170,640,24
"0291019",263,60,234,8
"0291020",264,203,721,34
"0291021",265,130,503,17
"0291022",266,73,290,7
"0291023",267,120,711,23
"0291024",268,489,901,55
"0291025",269,25,148,3
"0291026",270,86,359,13
"0291027",271,46,65,5
"0291028",272,91,274,14
"0291029",273,133,600,13
"0291030A",274,8,7,2
"0291030B",275,0,0,0
"0291031",276,89,428,14
"0291032",277,112,681,22
"0291033",278,211,441,31
"0291034",279,701,751,65
"0291035",280,103,93,14
"0291036",281,565,870,52
"0291037",282,248,634,20
"0291038",283,390,826,37
"0291039",284,174,640,26
"0291040",285,168,770,22
"0291041",286,130,562,18
"0291042",287,81,334,12
"0291043",288,199,390,15
"0291044",289,180,683,23
"0291045",290,268,993,23
"0291046",291,162,644,9
"0291047",292,139,470,13
"0291048",293,180,635,24
"0291049",294,231,689,19
"0291050",295,164,413,18
"0291051",296,274,532,14
"0291052",297,208,546,23
"0291053",298,23,65,3
"0291054",299,231,679,24
"0291055",300,343,631,45
"0291056",301,370,752,38
"0291057",302,400,436,38
"0291058",303,468,510,26
"0291059",304,50,79,8
"0291060",305,187,799,28
"0291061",306,171,653,27
"0291062",307,31,29,1
"0291063",308,367,362,16
"0291064A",309,224,261,21
"0291064B",310,0,0,0
"0291065",311,415,497,27
"0291066",312,99,177,12
"0291067",313,750,532,36
"0291068",314,220,289,20
"0291069",315,141,137,8
"0291070",316,139,275,10
"0291071",317,290,547,29
"0291072",318,215,605,31
"0291073",319,769,976,73
"0291074",320,4,3,2
"0291075",321,160,536,15
"0291076",322,439,769,46
"0291077",323,122,532,15
"0291078",324,28,167,6
"0291079",325,378,723,40
"0291080",326,432,1271,63
"0291081",327,598,240,24
"0291082",328,635,1234,67
"0291083",329,580,849,58
"0291084",330,215,494,24
"0291085",331,171,449,13
"0291086",332,348,699,30
"0291087",333,154,406,15
"0291088",334,67,265,7
"0291089",335,275,362,20
"0291090",336,0,0,0
"0291091",337,268,659,30
"0291092",338,63,247,6
"0291093",339,171,251,21
"0291094",340,220,509,34
"0291095",341,31,44,8
"0291096",342,2,7,0
"0291097",343,79,229,10
"0291098",344,50,266,11
"0291099",345,478,903,46
"0291100",346,453,824,31
"0291101",347,0,0,0
"0291102",348,223,181,19
"0291103",349,124,99,11
"0291104",350,640,982,59
"0291105",351,80,141,14
"0291106",352,0,0,0
"0291107",353,443,636,27
"0291108",354,1154,1298,95
"0291109",355,2,1,0
"0291110",356,439,708,50
"0291111",357,932,1399,77
"0291112",358,525,1282,71
"0291113",359,516,821,49
"0291114",360,0,0,0
"0291115",361,36,50,3
"0291116",362,284,283,19
"0291117",363,51,97,6
"0291118",364,568,619,59
"0291119",365,10,33,2
"0291120",366,5,34,0
"0291121",367,673,847,58
"0291122",368,1292,1348,74
"0291123",369,113,122,11
"0291124",370,98,183,12
"0291125",371,540,625,36
"0291126",372,0,0,0
"0291127",373,36,175,5
"0291128",374,199,335,23
"0291129",375,221,303,17
"0291130",376,0,0,0
"0291131",377,0,0,0
"0291132",378,0,2,0
"0291133",379,1,0,0
"0291134",380,0,0,0
"0291135",381,0,0,0
"0291136",382,56,77,2
"0291137",383,0,0,0
"0291138",384,55,154,9
"0291139",385,106,258,12
"0291140",386,188,336,27
"0291141",387,306,460,42
"0291142",388,199,479,27
"0291143",389,660,722,48
"0291144",390,1269,737,40
"0291145",391,77,48,2
"0291146",392,41,31,3
"0291147",393,386,734,41
"0291148",394,59,116,6
"0291149",395,327,623,28
"0291150",396,365,592,37
"0291151",397,303,379,24
"0292001",398,36,196,10
"0292002",399,71,355,8
"0292003",400,84,551,25
"0292004",401,136,744,21
"0292005",402,86,343,18
"0292006",403,0,5,0
"0292007",404,96,480,16
"0292008",405,55,291,8
"0292009",406,235,565,20
"0292010",407,266,383,40
"0292011",408,102,554,34
"0292012",409,60,401,12
"0292013",410,105,381,17
"0292014",411,116,390,10
"0292015",412,71,476,22
"0292016",413,35,333,5
"0292017",414,49,272,11
"0292018",415,103,415,15
"0292019",416,67,454,18
"0292020",417,90,701,17
"0292021",418,150,732,23
"0292022",419,80,413,19
"0292023",420,232,983,42
"0292024",421,173,527,23
"0292025",422,241,838,32
"0292026",423,315,742,30
"0292027",424,206,493,14
"0292028",425,367,838,43
"0292029",426,74,338,11
"0292030",427,79,410,10
"0292031",428,63,421,14
"0292032",429,35,161,4
"0292033",430,40,168,6
"0292034",431,49,210,10
"0292035",432,214,605,33
"0292036",433,425,645,42
"0292037",434,431,393,24
"0292038",435,308,486,29
"0292039A",436,130,539,18
"0292039B",437,0,0,0
"0292040",438,286,781,31
"0292041",439,284,921,28
"0292042",440,106,459,18
"0292043",441,115,550,21
"0292044",442,175,583,27
"0292045",443,265,882,33
"0292046",444,317,848,40
"0292047",445,243,621,29
"0292048",446,112,515,26
"0292049",447,324,865,30
"0292050",448,258,590,28
"0292051",449,83,169,11
"0292052",450,76,302,9
"0292053",451,97,395,18
"0292054",452,224,857,26
"0292055",453,301,925,36
"0292056",454,143,445,18
"0292057",455,192,633,30
"0292058",456,226,649,34
"0292059",457,224,646,39
"0292060",458,156,457,18
"0292061",459,212,317,22
"0292062",460,191,369,16
"0292063",461,721,392,35
"0292064",462,375,713,51
"0292065",463,659,1271,62
"0292066",464,1068,1065,71
