CNTYVTD,VTDKEY,BlacklockR_18G_Sup Ct 2,KirklandD_18G_Sup Ct 2
"0010001",1,672,236
"0010002",2,1062,156
"0010003",3,566,96
"0010004",4,737,101
"0010005",5,178,11
"0010006",6,259,379
"0010007",7,87,443
"0010008",8,45,102
"0010009",9,556,134
"0010010",10,232,26
"0010011",11,486,141
"0010013",12,608,249
"0010015",13,480,58
"0010016",14,351,89
"0010017",15,340,97
"0010018",16,912,190
"0010019",17,787,237
"0010020",18,409,134
"0010021",19,853,126
"0010022",20,534,94
"0010023",21,695,80
"0010024",22,449,37
"0030001",23,712,195
"0030002",24,1277,188
"0030003",25,788,186
"0030004",26,546,177
"0050001",27,134,83
"0050002",28,252,745
"0050003",29,751,173
"0050004",30,351,261
"0050005",31,518,384
"0050006",32,201,37
"0050007",33,627,74
"0050008A",34,399,49
"0050008B",35,255,32
"0050009",36,153,38
"0050010A",37,223,200
"0050010B",38,27,24
"0050011",39,1093,102
"0050012",40,383,87
"0050013",41,194,136
"0050014",42,766,296
"0050015",43,299,59
"0050016",44,444,452
"0050017",45,815,111
"0050018",46,224,109
"0050019",47,651,270
"0050020",48,142,911
"0050021",49,513,154
"0050022",50,525,84
"0050023",51,301,47
"0050024",52,993,259
"0050025",53,965,196
"0050026",54,879,109
"0050027",55,198,24
"0050028A",56,488,108
"0050028B",57,56,12
"0050029",58,690,125
"0050030",59,507,46
"0050031",60,148,53
"0050032",61,53,6
"0050033",62,664,55
"0050034",63,943,296
"0050035",64,836,219
"0050036",65,5,0
"0050037",66,221,45
"0050038",67,171,34
"0050039",68,183,85
"0050040",69,278,163
"005011B",70,471,95
"005017B",71,181,15
"0070001",72,932,228
"0070002",73,1018,493
"0070003",74,1930,586
"0070004",75,1749,514
"007001A",76,555,151
"007004A",77,559,136
"0090001",78,610,64
"0090002",79,527,57
"0090003",80,186,29
"0090004",81,371,14
"0090005",82,83,6
"0090006",83,527,72
"0090007",84,118,12
"0090008",85,181,31
"0090009",86,95,10
"0090010",87,429,67
"0090011",88,65,8
"0110101",89,214,14
"0110201",90,110,18
"0110202",91,42,7
"0110301",92,163,9
"0110303",93,22,9
"0110401",94,120,8
"0110402",95,98,8
"0110404",96,19,0
"0130001",97,283,89
"0130002",98,285,211
"0130003",99,400,225
"0130004",100,48,16
"0130005",101,360,342
"0130006",102,51,1
"0130007",103,409,242
"0130008",104,165,92
"0130009",105,68,13
"0130010",106,353,218
"0130011",107,33,10
"0130012",108,362,230
"0130013",109,728,360
"0130014",110,137,52
"0130015",111,444,361
"0130016",112,79,50
"0130017",113,290,522
"0130018",114,417,259
"0130019",115,142,57
"0130020",116,1508,424
"0130021",117,123,20
"0130022",118,317,80
"0130023",119,152,129
"0130024",120,529,298
"0150101",121,585,124
"0150102",122,625,158
"0150103",123,798,115
"0150104",124,392,78
"0150205",125,909,204
"0150206",126,299,51
"0150207",127,210,27
"0150208",128,367,62
"0150209",129,319,73
"0150210",130,384,60
"0150211",131,193,32
"0150312",132,353,29
"0150313",133,232,248
"0150314",134,1090,306
"0150415",135,520,195
"0150416",136,515,145
"0150417",137,232,102
"0150418",138,696,120
"0170001",139,366,111
"0170002",140,522,79
"0170003",141,189,86
"0170004A",142,88,97
"0170004B",143,5,5
"0190101",144,828,188
"0190102",145,1291,295
"0190203",146,962,301
"0190204",147,720,222
"0190305",148,1159,236
"0190306",149,796,126
"0190407",150,1173,242
"0190408",151,132,56
"0190409",152,329,102
"0190410",153,294,53
"0211001",154,1172,774
"0211002",155,660,712
"0211003",156,1102,771
"0211004",157,600,584
"0211022",158,1008,707
"0212005",159,864,684
"0212006",160,563,306
"0212007",161,957,334
"0212008",162,408,195
"0212009",163,431,303
"0212010",164,548,251
"0212011",165,899,590
"0213012",166,406,143
"0213013",167,603,294
"0213014",168,613,605
"0213015",169,479,747
"0213016",170,821,669
"0214017",171,616,841
"0214018",172,270,141
"0214019",173,812,641
"0214020",174,923,1062
"0214021",175,492,271
"0230001",176,300,41
"0230002",177,230,36
"0230003",178,214,40
"0230004",179,292,40
"0250001",180,567,402
"0250002",181,158,10
"0250003",182,407,293
"0250004",183,138,36
"0250005",184,119,49
"0250006",185,384,206
"0250008",186,92,28
"0250009",187,92,229
"0250010",188,179,327
"0250011",189,89,47
"0250012",190,120,49
"0250013",191,415,232
"0250014",192,80,52
"0250016",193,302,193
"0250017",194,250,243
"0250018",195,691,249
"0250019",196,69,158
"0270101",197,2778,964
"0270102",198,1298,464
"0270103",199,1699,781
"0270104",200,3257,1018
"0270105",201,721,132
"0270106",202,710,1374
"0270107",203,189,84
"0270108",204,766,149
"0270109",205,393,576
"0270110",206,193,164
"0270111",207,1706,998
"0270113",208,129,36
"0270201",209,778,723
"0270202",210,1850,1193
"0270203",211,3614,837
"0270204",212,422,545
"0270205",213,668,1279
"0270206",214,322,554
"0270207",215,449,936
"0270208",216,1004,1988
"0270209",217,1761,1954
"0270210",218,1119,1661
"0270301",219,1627,314
"0270302",220,1275,804
"0270303",221,1267,1034
"0270304",222,329,105
"0270305",223,1096,490
"0270306",224,362,525
"0270307",225,296,752
"0270308",226,444,476
"0270309",227,405,57
"0270310",228,267,38
"0270311",229,1378,273
"0270312",230,826,161
"0270313",231,1202,452
"0270314",232,735,557
"0270315",233,2281,1176
"0270317",234,2841,1290
"0270401",235,522,161
"0270402",236,1002,455
"0270404",237,642,1249
"0270405",238,501,1355
"0270406",239,497,555
"0270408",240,898,1622
"0270409",241,451,463
"0270410",242,263,455
"0270412",243,557,1685
"0270413",244,856,1880
"0291001",245,76,327
"0291002",246,122,229
"0291003",247,137,833
"0291004",248,43,296
"0291005",249,46,239
"0291006",250,155,704
"0291007",251,120,474
"0291008",252,148,862
"0291009",253,302,477
"0291010",254,56,251
"0291011",255,45,139
"0291012",256,247,579
"0291013",257,124,807
"0291014",258,65,384
"0291015",259,82,381
"0291016",260,63,355
"0291017",261,28,53
"0291018",262,170,661
"0291019",263,57,244
"0291020",264,208,750
"0291021",265,124,521
"0291022",266,76,295
"0291023",267,119,724
"0291024",268,487,951
"0291025",269,27,150
"0291026",270,84,370
"0291027",271,45,70
"0291028",272,87,288
"0291029",273,136,609
"0291030A",274,9,8
"0291030B",275,0,0
"0291031",276,82,447
"0291032",277,121,686
"0291033",278,208,467
"0291034",279,697,812
"0291035",280,111,100
"0291036",281,560,918
"0291037",282,233,673
"0291038",283,388,856
"0291039",284,173,655
"0291040",285,170,783
"0291041",286,124,573
"0291042",287,78,347
"0291043",288,192,410
"0291044",289,176,706
"0291045",290,269,1014
"0291046",291,148,669
"0291047",292,130,485
"0291048",293,186,651
"0291049",294,217,723
"0291050",295,154,440
"0291051",296,261,554
"0291052",297,211,566
"0291053",298,22,68
"0291054",299,212,721
"0291055",300,348,663
"0291056",301,372,787
"0291057",302,401,467
"0291058",303,457,540
"0291059",304,52,85
"0291060",305,183,828
"0291061",306,158,694
"0291062",307,33,28
"0291063",308,365,379
"0291064A",309,225,276
"0291064B",310,0,0
"0291065",311,413,521
"0291066",312,94,191
"0291067",313,735,573
"0291068",314,215,313
"0291069",315,135,150
"0291070",316,135,286
"0291071",317,292,573
"0291072",318,208,642
"0291073",319,758,1060
"0291074",320,4,5
"0291075",321,160,549
"0291076",322,428,827
"0291077",323,118,554
"0291078",324,25,175
"0291079",325,380,760
"0291080",326,431,1341
"0291081",327,576,280
"0291082",328,628,1299
"0291083",329,567,920
"0291084",330,216,513
"0291085",331,167,461
"0291086",332,326,744
"0291087",333,160,415
"0291088",334,66,269
"0291089",335,272,384
"0291090",336,0,0
"0291091",337,253,701
"0291092",338,67,246
"0291093",339,173,266
"0291094",340,221,536
"0291095",341,34,48
"0291096",342,2,7
"0291097",343,75,244
"0291098",344,48,277
"0291099",345,463,962
"0291100",346,456,851
"0291101",347,0,0
"0291102",348,231,186
"0291103",349,127,108
"0291104",350,629,1052
"0291105",351,78,156
"0291106",352,0,0
"0291107",353,437,669
"0291108",354,1141,1403
"0291109",355,2,1
"0291110",356,444,752
"0291111",357,923,1487
"0291112",358,526,1342
"0291113",359,497,884
"0291114",360,0,0
"0291115",361,35,55
"0291116",362,283,304
"0291117",363,53,100
"0291118",364,572,670
"0291119",365,11,34
"0291120",366,5,34
"0291121",367,683,889
"0291122",368,1274,1442
"0291123",369,116,131
"0291124",370,93,194
"0291125",371,524,670
"0291126",372,0,0
"0291127",373,39,176
"0291128",374,201,355
"0291129",375,209,333
"0291130",376,0,0
"0291131",377,0,0
"0291132",378,0,2
"0291133",379,1,0
"0291134",380,0,0
"0291135",381,0,0
"0291136",382,53,83
"0291137",383,0,0
"0291138",384,55,162
"0291139",385,109,269
"0291140",386,197,352
"0291141",387,318,489
"0291142",388,207,496
"0291143",389,651,778
"0291144",390,1241,792
"0291145",391,75,53
"0291146",392,40,34
"0291147",393,387,773
"0291148",394,59,122
"0291149",395,316,661
"0291150",396,368,626
"0291151",397,307,399
"0292001",398,37,206
"0292002",399,60,372
"0292003",400,81,577
"0292004",401,134,767
"0292005",402,80,365
"0292006",403,0,5
"0292007",404,96,502
"0292008",405,56,300
"0292009",406,231,590
"0292010",407,259,427
"0292011",408,90,593
"0292012",409,65,405
"0292013",410,99,407
"0292014",411,112,403
"0292015",412,76,490
