CNTYVTD,VTDKEY,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"0010001",1,670,235
"0010002",2,1062,156
"0010003",3,563,98
"0010004",4,742,93
"0010005",5,178,12
"0010006",6,267,371
"0010007",7,87,442
"0010008",8,46,101
"0010009",9,559,128
"0010010",10,235,22
"0010011",11,492,137
"0010013",12,607,246
"0010015",13,482,54
"0010016",14,352,87
"0010017",15,339,98
"0010018",16,912,187
"0010019",17,791,231
"0010020",18,407,136
"0010021",19,851,128
"0010022",20,534,95
"0010023",21,692,80
"0010024",22,449,36
"0030001",23,718,187
"0030002",24,1277,183
"0030003",25,788,181
"0030004",26,547,169
"0050001",27,131,87
"0050002",28,260,736
"0050003",29,748,169
"0050004",30,354,255
"0050005",31,521,382
"0050006",32,204,32
"0050007",33,625,75
"0050008A",34,403,46
"0050008B",35,258,29
"0050009",36,152,37
"0050010A",37,224,199
"0050010B",38,27,24
"0050011",39,1097,94
"0050012",40,385,83
"0050013",41,195,135
"0050014",42,767,292
"0050015",43,303,55
"0050016",44,443,453
"0050017",45,822,107
"0050018",46,226,107
"0050019",47,653,267
"0050020",48,143,902
"0050021",49,515,150
"0050022",50,523,85
"0050023",51,301,47
"0050024",52,1002,246
"0050025",53,968,194
"0050026",54,878,107
"0050027",55,199,22
"0050028A",56,490,104
"0050028B",57,56,12
"0050029",58,694,120
"0050030",59,508,45
"0050031",60,147,53
"0050032",61,53,6
"0050033",62,670,49
"0050034",63,943,293
"0050035",64,831,220
"0050036",65,5,0
"0050037",66,223,44
"0050038",67,171,34
"0050039",68,187,80
"0050040",69,276,163
"005011B",70,470,96
"005017B",71,180,15
"0070001",72,936,224
"0070002",73,1020,493
"0070003",74,1930,583
"0070004",75,1755,501
"007001A",76,558,147
"007004A",77,556,142
"0090001",78,610,58
"0090002",79,525,58
"0090003",80,188,26
"0090004",81,367,14
"0090005",82,83,6
"0090006",83,524,70
"0090007",84,119,11
"0090008",85,179,30
"0090009",86,94,10
"0090010",87,435,59
"0090011",88,65,7
"0110101",89,216,12
"0110201",90,108,19
"0110202",91,40,8
"0110301",92,163,7
"0110303",93,24,8
"0110401",94,122,6
"0110402",95,98,9
"0110404",96,19,0
"0130001",97,283,89
"0130002",98,290,207
"0130003",99,406,220
"0130004",100,48,17
"0130005",101,371,330
"0130006",102,49,3
"0130007",103,406,239
"0130008",104,166,91
"0130009",105,70,11
"0130010",106,351,216
"0130011",107,32,11
"0130012",108,370,221
"0130013",109,731,353
"0130014",110,138,49
"0130015",111,452,351
"0130016",112,79,49
"0130017",113,311,498
"0130018",114,424,249
"0130019",115,142,56
"0130020",116,1507,417
"0130021",117,125,19
"0130022",118,313,82
"0130023",119,162,121
"0130024",120,535,291
"0150101",121,588,121
"0150102",122,621,160
"0150103",123,800,112
"0150104",124,394,75
"0150205",125,915,193
"0150206",126,298,53
"0150207",127,211,26
"0150208",128,366,65
"0150209",129,317,73
"0150210",130,380,61
"0150211",131,194,31
"0150312",132,353,28
"0150313",133,230,250
"0150314",134,1093,299
"0150415",135,516,196
"0150416",136,517,142
"0150417",137,235,99
"0150418",138,700,114
"0170001",139,370,105
"0170002",140,523,75
"0170003",141,194,82
"0170004A",142,92,93
"0170004B",143,5,4
"0190101",144,837,178
"0190102",145,1299,287
"0190203",146,959,301
"0190204",147,720,220
"0190305",148,1174,226
"0190306",149,800,123
"0190407",150,1174,239
"0190408",151,137,52
"0190409",152,327,99
"0190410",153,292,53
"0211001",154,1176,760
"0211002",155,674,683
"0211003",156,1108,753
"0211004",157,613,565
"0211022",158,1017,691
"0212005",159,876,659
"0212006",160,562,302
"0212007",161,969,322
"0212008",162,413,191
"0212009",163,435,290
"0212010",164,548,246
"0212011",165,918,566
"0213012",166,412,130
"0213013",167,607,291
"0213014",168,620,595
"0213015",169,497,725
"0213016",170,835,653
"0214017",171,625,823
"0214018",172,270,139
"0214019",173,811,630
"0214020",174,941,1039
"0214021",175,498,262
"0230001",176,300,40
"0230002",177,230,34
"0230003",178,212,41
"0230004",179,289,38
"0250001",180,580,386
"0250002",181,156,12
"0250003",182,423,278
"0250004",183,141,34
"0250005",184,121,48
"0250006",185,383,205
"0250008",186,93,28
"0250009",187,95,227
"0250010",188,194,311
"0250011",189,91,44
"0250012",190,117,51
"0250013",191,424,223
"0250014",192,81,52
"0250016",193,300,192
"0250017",194,257,235
"0250018",195,694,244
"0250019",196,72,151
"0270101",197,2792,941
"0270102",198,1297,462
"0270103",199,1720,760
"0270104",200,3250,1015
"0270105",201,726,127
"0270106",202,712,1367
"0270107",203,190,83
"0270108",204,773,139
"0270109",205,394,573
"0270110",206,192,166
"0270111",207,1705,997
"0270113",208,129,36
"0270201",209,787,710
"0270202",210,1856,1184
"0270203",211,3622,825
"0270204",212,421,543
"0270205",213,669,1274
"0270206",214,324,551
"0270207",215,455,924
"0270208",216,1019,1972
"0270209",217,1790,1921
"0270210",218,1106,1665
"0270301",219,1631,309
"0270302",220,1269,808
"0270303",221,1276,1021
"0270304",222,326,103
"0270305",223,1095,488
"0270306",224,367,518
"0270307",225,304,742
"0270308",226,447,471
"0270309",227,404,55
"0270310",228,269,36
"0270311",229,1375,273
"0270312",230,831,155
"0270313",231,1205,445
"0270314",232,739,552
"0270315",233,2284,1173
"0270317",234,2859,1266
"0270401",235,516,166
"0270402",236,1004,453
"0270404",237,648,1239
"0270405",238,516,1332
"0270406",239,502,546
"0270408",240,904,1613
"0270409",241,452,460
"0270410",242,262,456
"0270412",243,571,1669
"0270413",244,869,1866
"0291001",245,82,322
"0291002",246,126,225
"0291003",247,156,810
"0291004",248,51,290
"0291005",249,50,235
"0291006",250,166,690
"0291007",251,127,467
"0291008",252,162,847
"0291009",253,305,474
"0291010",254,59,245
"0291011",255,46,135
"0291012",256,262,558
"0291013",257,135,790
"0291014",258,71,373
"0291015",259,90,371
"0291016",260,66,353
"0291017",261,30,51
"0291018",262,171,657
"0291019",263,68,233
"0291020",264,212,743
"0291021",265,133,509
"0291022",266,81,289
"0291023",267,130,711
"0291024",268,510,926
"0291025",269,26,150
"0291026",270,86,367
"0291027",271,46,69
"0291028",272,94,286
"0291029",273,141,601
"0291030A",274,9,8
"0291030B",275,0,0
"0291031",276,94,434
"0291032",277,125,679
"0291033",278,221,455
"0291034",279,713,798
"0291035",280,108,103
"0291036",281,578,897
"0291037",282,255,648
"0291038",283,401,842
"0291039",284,174,658
"0291040",285,179,777
"0291041",286,136,562
"0291042",287,83,342
"0291043",288,203,397
"0291044",289,189,695
"0291045",290,274,1009
"0291046",291,152,665
"0291047",292,138,480
"0291048",293,196,640
"0291049",294,243,697
"0291050",295,167,423
"0291051",296,282,536
"0291052",297,223,551
"0291053",298,23,67
"0291054",299,222,711
"0291055",300,368,643
"0291056",301,391,766
"0291057",302,415,453
"0291058",303,466,534
"0291059",304,51,86
"0291060",305,189,819
"0291061",306,170,678
"0291062",307,33,28
"0291063",308,373,371
"0291064A",309,233,265
"0291064B",310,0,0
"0291065",311,425,507
"0291066",312,97,188
"0291067",313,769,541
"0291068",314,227,300
"0291069",315,138,146
"0291070",316,143,279
"0291071",317,298,564
"0291072",318,233,617
"0291073",319,772,1048
"0291074",320,4,5
"0291075",321,163,546
"0291076",322,440,812
"0291077",323,121,549
"0291078",324,31,171
"0291079",325,387,752
"0291080",326,436,1332
"0291081",327,604,251
"0291082",328,652,1277
"0291083",329,596,889
"0291084",330,224,505
"0291085",331,171,457
"0291086",332,347,720
"0291087",333,163,412
"0291088",334,69,268
"0291089",335,277,378
"0291090",336,0,0
"0291091",337,270,685
"0291092",338,70,244
"0291093",339,180,259
"0291094",340,228,529
"0291095",341,35,47
"0291096",342,2,7
"0291097",343,79,237
"0291098",344,55,269
"0291099",345,482,941
"0291100",346,476,830
"0291101",347,0,0
"0291102",348,237,180
"0291103",349,128,107
"0291104",350,648,1026
"0291105",351,80,155
"0291106",352,0,0
"0291107",353,448,656
"0291108",354,1169,1372
"0291109",355,2,1
"0291110",356,459,736
"0291111",357,950,1457
"0291112",358,554,1312
"0291113",359,509,869
"0291114",360,0,0
"0291115",361,38,52
"0291116",362,289,296
"0291117",363,56,97
"0291118",364,586,654
"0291119",365,10,34
"0291120",366,5,34
"0291121",367,692,880
"0291122",368,1296,1413
"0291123",369,116,131
"0291124",370,99,188
"0291125",371,538,655
"0291126",372,0,0
"0291127",373,48,169
"0291128",374,204,351
"0291129",375,210,331
"0291130",376,0,0
"0291131",377,0,0
"0291132",378,0,2
"0291133",379,1,0
"0291134",380,0,0
"0291135",381,0,0
"0291136",382,57,78
"0291137",383,0,0
"0291138",384,54,163
"0291139",385,114,264
"0291140",386,197,353
"0291141",387,325,485
"0291142",388,209,494
"0291143",389,663,764
"0291144",390,1277,757
"0291145",391,77,50
"0291146",392,41,33
"0291147",393,395,766
"0291148",394,60,120
"0291149",395,331,647
"0291150",396,383,610
"0291151",397,311,395
"0292001",398,35,206
"0292002",399,74,357
"0292003",400,91,569
"0292004",401,143,753
"0292005",402,87,356
"0292006",403,0,5
"0292007",404,102,491
"0292008",405,59,295
"0292009",406,228,591
"0292010",407,273,410
"0292011",408,116,568
"0292012",409,70,400
"0292013",410,117,388
"0292014",411,120,395
"0292015",412,85,477
"0292016",413,39,332
"0292017",414,51,282
"0292018",415,106,427
"0292019",416,84,455
"0292020",417,90,714
"0292021",418,168,737
"0292022",419,89,420
"0292023",420,255,992
"0292024",421,180,540
"0292025",422,242,865
"0292026",423,330,754
"0292027",424,212,498
"0292028",425,375,862
"0292029",426,79,343
"0292030",427,89,408
"0292031",428,69,424
