CNTYVTD,VTDKEY,BrownR_18G_Sup Ct 6,ChengD_18G_Sup Ct 6
"0010001",1,669,239
"0010002",2,1064,155
"0010003",3,564,91
"0010004",4,737,94
"0010005",5,177,12
"0010006",6,265,376
"0010007",7,91,436
"0010008",8,45,102
"0010009",9,550,140
"0010010",10,236,22
"0010011",11,493,138
"0010013",12,614,245
"0010015",13,478,55
"0010016",14,349,90
"0010017",15,336,97
"0010018",16,915,182
"0010019",17,802,223
"0010020",18,403,138
"0010021",19,851,124
"0010022",20,531,94
"0010023",21,698,74
"0010024",22,449,34
"0030001",23,712,193
"0030002",24,1276,182
"0030003",25,788,182
"0030004",26,529,181
"0050001",27,133,85
"0050002",28,260,738
"0050003",29,751,168
"0050004",30,351,260
"0050005",31,519,385
"0050006",32,206,32
"0050007",33,626,73
"0050008A",34,404,46
"0050008B",35,258,28
"0050009",36,153,38
"0050010A",37,226,198
"0050010B",38,28,24
"0050011",39,1092,101
"0050012",40,384,85
"0050013",41,191,138
"0050014",42,763,298
"0050015",43,300,58
"0050016",44,443,453
"0050017",45,818,110
"0050018",46,227,106
"0050019",47,655,265
"0050020",48,143,906
"0050021",49,517,149
"0050022",50,525,85
"0050023",51,304,43
"0050024",52,999,251
"0050025",53,971,190
"0050026",54,877,110
"0050027",55,199,23
"0050028A",56,486,109
"0050028B",57,56,12
"0050029",58,687,126
"0050030",59,506,46
"0050031",60,147,53
"0050032",61,53,6
"0050033",62,666,53
"0050034",63,936,301
"0050035",64,832,220
"0050036",65,5,0
"0050037",66,225,43
"0050038",67,171,34
"0050039",68,184,81
"0050040",69,280,160
"005011B",70,468,97
"005017B",71,182,14
"0070001",72,933,228
"0070002",73,1023,492
"0070003",74,1920,594
"0070004",75,1739,518
"007001A",76,556,150
"007004A",77,565,134
"0090001",78,609,58
"0090002",79,527,57
"0090003",80,185,29
"0090004",81,367,14
"0090005",82,83,6
"0090006",83,523,70
"0090007",84,120,10
"0090008",85,179,31
"0090009",86,94,10
"0090010",87,431,64
"0090011",88,64,8
"0110101",89,215,13
"0110201",90,107,20
"0110202",91,40,8
"0110301",92,162,8
"0110303",93,24,9
"0110401",94,120,8
"0110402",95,100,6
"0110404",96,19,0
"0130001",97,281,93
"0130002",98,287,209
"0130003",99,400,224
"0130004",100,46,17
"0130005",101,366,334
"0130006",102,50,2
"0130007",103,404,239
"0130008",104,168,88
"0130009",105,67,14
"0130010",106,351,214
"0130011",107,34,9
"0130012",108,371,221
"0130013",109,724,362
"0130014",110,135,54
"0130015",111,439,365
"0130016",112,81,48
"0130017",113,303,504
"0130018",114,416,250
"0130019",115,141,57
"0130020",116,1504,418
"0130021",117,124,18
"0130022",118,318,78
"0130023",119,155,125
"0130024",120,539,287
"0150101",121,586,122
"0150102",122,620,160
"0150103",123,800,109
"0150104",124,398,71
"0150205",125,919,188
"0150206",126,301,51
"0150207",127,213,24
"0150208",128,363,67
"0150209",129,316,74
"0150210",130,378,61
"0150211",131,198,27
"0150312",132,352,30
"0150313",133,228,252
"0150314",134,1091,301
"0150415",135,529,185
"0150416",136,515,145
"0150417",137,234,98
"0150418",138,700,116
"0170001",139,367,77
"0170002",140,528,71
"0170003",141,193,81
"0170004A",142,91,95
"0170004B",143,5,5
"0190101",144,827,187
"0190102",145,1296,290
"0190203",146,959,305
"0190204",147,722,219
"0190305",148,1172,226
"0190306",149,797,127
"0190407",150,1178,237
"0190408",151,137,51
"0190409",152,324,103
"0190410",153,294,50
"0211001",154,1168,770
"0211002",155,670,689
"0211003",156,1100,762
"0211004",157,606,573
"0211022",158,1008,700
"0212005",159,877,667
"0212006",160,569,301
"0212007",161,962,323
"0212008",162,412,189
"0212009",163,429,300
"0212010",164,553,244
"0212011",165,890,588
"0213012",166,399,145
"0213013",167,603,295
"0213014",168,622,596
"0213015",169,479,745
"0213016",170,824,657
"0214017",171,621,823
"0214018",172,271,139
"0214019",173,811,629
"0214020",174,930,1051
"0214021",175,494,263
"0230001",176,299,41
"0230002",177,229,34
"0230003",178,215,37
"0230004",179,293,37
"0250001",180,571,395
"0250002",181,156,12
"0250003",182,418,282
"0250004",183,139,35
"0250005",184,121,48
"0250006",185,376,211
"0250008",186,92,29
"0250009",187,90,234
"0250010",188,187,317
"0250011",189,94,43
"0250012",190,116,52
"0250013",191,421,226
"0250014",192,82,52
"0250016",193,305,192
"0250017",194,248,247
"0250018",195,691,251
"0250019",196,64,161
"0270101",197,2782,946
"0270102",198,1294,463
"0270103",199,1710,762
"0270104",200,3241,1002
"0270105",201,721,128
"0270106",202,696,1377
"0270107",203,187,86
"0270108",204,769,145
"0270109",205,387,580
"0270110",206,187,170
"0270111",207,1696,1004
"0270113",208,132,33
"0270201",209,770,731
"0270202",210,1848,1184
"0270203",211,3616,829
"0270204",212,418,546
"0270205",213,671,1268
"0270206",214,325,551
"0270207",215,454,923
"0270208",216,998,1989
"0270209",217,1754,1949
"0270210",218,1101,1670
"0270301",219,1626,306
"0270302",220,1275,798
"0270303",221,1276,1019
"0270304",222,328,106
"0270305",223,1095,478
"0270306",224,362,525
"0270307",225,288,755
"0270308",226,444,471
"0270309",227,405,53
"0270310",228,269,35
"0270311",229,1380,271
"0270312",230,834,152
"0270313",231,1203,448
"0270314",232,729,553
"0270315",233,2279,1176
"0270317",234,2845,1280
"0270401",235,516,165
"0270402",236,998,457
"0270404",237,644,1238
"0270405",238,499,1354
"0270406",239,490,558
"0270408",240,896,1614
"0270409",241,452,462
"0270410",242,260,459
"0270412",243,549,1690
"0270413",244,852,1886
"0291001",245,80,322
"0291002",246,120,231
"0291003",247,159,810
"0291004",248,47,294
"0291005",249,50,237
"0291006",250,150,706
"0291007",251,119,474
"0291008",252,172,836
"0291009",253,297,481
"0291010",254,60,247
"0291011",255,45,136
"0291012",256,262,561
"0291013",257,132,801
"0291014",258,65,385
"0291015",259,85,376
"0291016",260,68,353
"0291017",261,29,51
"0291018",262,175,657
"0291019",263,59,244
"0291020",264,210,745
"0291021",265,128,517
"0291022",266,79,291
"0291023",267,126,718
"0291024",268,495,942
"0291025",269,24,151
"0291026",270,90,365
"0291027",271,49,66
"0291028",272,87,291
"0291029",273,142,603
"0291030A",274,9,8
"0291030B",275,0,0
"0291031",276,84,443
"0291032",277,123,681
"0291033",278,218,459
"0291034",279,705,807
"0291035",280,109,102
"0291036",281,572,906
"0291037",282,249,654
"0291038",283,399,843
"0291039",284,177,657
"0291040",285,181,777
"0291041",286,128,572
"0291042",287,82,340
"0291043",288,193,411
"0291044",289,183,697
"0291045",290,277,1004
"0291046",291,158,657
"0291047",292,131,483
"0291048",293,189,650
"0291049",294,231,705
"0291050",295,168,426
"0291051",296,279,538
"0291052",297,217,557
"0291053",298,24,67
"0291054",299,220,712
"0291055",300,356,658
"0291056",301,375,777
