CNTYVTD,VTDKEY,CruzR_18G_U.S. Sen,O'RourkeD_18G_U.S. Sen,DikemanL_18G_U.S. Sen
"0010001",1,659,261,6
"0010002",2,1062,168,7
"0010003",3,571,99,4
"0010004",4,752,97,3
"0010005",5,179,11,1
"0010006",6,263,383,4
"0010007",7,88,445,2
"0010008",8,44,105,1
"0010009",9,563,132,8
"0010010",10,231,26,1
"0010011",11,495,148,2
"0010013",12,604,259,9
"0010015",13,476,63,6
"0010016",14,351,91,3
"0010017",15,341,97,4
"0010018",16,920,185,8
"0010019",17,795,242,9
"0010020",18,409,146,6
"0010021",19,845,137,3
"0010022",20,533,99,0
"0010023",21,702,74,4
"0010024",22,452,39,3
"0030001",23,716,196,6
"0030002",24,1281,200,8
"0030003",25,784,202,1
"0030004",26,557,178,2
"0050001",27,125,98,0
"0050002",28,266,741,5
"0050003",29,758,165,6
"0050004",30,347,276,4
"0050005",31,518,399,6
"0050006",32,200,39,2
"0050007",33,630,81,2
"0050008A",34,408,50,2
"0050008B",35,261,32,1
"0050009",36,147,48,0
"0050010A",37,226,201,1
"0050010B",38,27,25,0
"0050011",39,1098,105,6
"0050012",40,389,87,1
"0050013",41,188,144,4
"0050014",42,758,316,5
"0050015",43,293,67,0
"0050016",44,438,468,6
"0050017",45,823,111,5
"0050018",46,221,111,4
"0050019",47,635,298,7
"0050020",48,144,912,7
"0050021",49,511,159,5
"0050022",50,530,85,2
"0050023",51,301,47,3
"0050024",52,1003,264,14
"0050025",53,972,197,7
"0050026",54,880,116,4
"0050027",55,200,23,1
"0050028A",56,478,122,5
"0050028B",57,55,14,1
"0050029",58,693,131,6
"0050030",59,513,42,4
"0050031",60,148,53,0
"0050032",61,53,6,0
"0050033",62,670,51,2
"0050034",63,917,346,11
"0050035",64,819,255,2
"0050036",65,6,0,0
"0050037",66,223,43,3
"0050038",67,173,34,2
"0050039",68,180,94,1
"0050040",69,277,163,4
"005011B",70,477,97,2
"005017B",71,187,14,0
"0070001",72,936,237,9
"0070002",73,1017,511,12
"0070003",74,1895,647,12
"0070004",75,1726,552,16
"007001A",76,550,154,5
"007004A",77,553,146,2
"0090001",78,608,61,5
"0090002",79,529,56,2
"0090003",80,193,27,2
"0090004",81,379,17,0
"0090005",82,83,5,1
"0090006",83,528,80,5
"0090007",84,121,9,1
"0090008",85,180,30,0
"0090009",86,95,9,0
"0090010",87,429,72,2
"0090011",88,63,10,0
"0110101",89,225,15,0
"0110201",90,114,20,2
"0110202",91,43,7,0
"0110301",92,170,8,2
"0110303",93,26,10,0
"0110401",94,121,8,1
"0110402",95,101,6,1
"0110404",96,19,0,0
"0130001",97,280,94,3
"0130002",98,276,213,9
"0130003",99,396,237,8
"0130004",100,49,17,0
"0130005",101,358,343,8
"0130006",102,50,1,1
"0130007",103,413,241,13
"0130008",104,168,93,2
"0130009",105,67,13,1
"0130010",106,360,221,6
"0130011",107,34,8,1
"0130012",108,358,234,5
"0130013",109,750,353,7
"0130014",110,141,51,2
"0130015",111,447,369,8
"0130016",112,80,49,2
"0130017",113,321,509,8
"0130018",114,437,258,6
"0130019",115,149,55,0
"0130020",116,1488,457,11
"0130021",117,126,19,0
"0130022",118,316,87,3
"0130023",119,155,126,4
"0130024",120,534,284,11
"0150101",121,576,137,9
"0150102",122,618,171,4
"0150103",123,787,127,11
"0150104",124,400,75,2
"0150205",125,920,211,9
"0150206",126,296,60,0
"0150207",127,206,28,3
"0150208",128,377,64,2
"0150209",129,319,81,3
"0150210",130,383,65,1
"0150211",131,197,30,2
"0150312",132,358,34,0
"0150313",133,232,253,2
"0150314",134,1097,316,11
"0150415",135,527,193,6
"0150416",136,500,164,13
"0150417",137,234,103,2
"0150418",138,695,129,4
"0170001",139,368,123,2
"0170002",140,531,88,0
"0170003",141,189,99,3
"0170004A",142,108,90,2
"0170004B",143,6,5,0
"0190101",144,824,185,10
"0190102",145,1283,304,15
"0190203",146,960,305,9
"0190204",147,702,234,11
"0190305",148,1163,241,10
"0190306",149,785,135,7
"0190407",150,1172,249,7
"0190408",151,134,55,1
"0190409",152,327,96,4
"0190410",153,293,61,2
"0211001",154,1153,824,19
"0211002",155,665,728,11
"0211003",156,1072,821,16
"0211004",157,594,597,11
"0211022",158,983,754,12
"0212005",159,870,696,21
"0212006",160,564,310,12
"0212007",161,943,352,14
"0212008",162,409,202,7
"0212009",163,418,310,16
"0212010",164,550,257,8
"0212011",165,874,635,24
"0213012",166,398,156,7
"0213013",167,604,306,12
"0213014",168,613,616,13
"0213015",169,473,771,12
"0213016",170,810,686,20
"0214017",171,605,863,18
"0214018",172,262,149,4
"0214019",173,802,673,11
"0214020",174,913,1094,30
